ID;BJD;RV;e_RV
HD 3167    ;2457585.91140;    -5.53; 1.03
HD 3167    ;2457586.00247;    -5.78; 0.60
HD 3167    ;2457586.09707;    -7.37; 0.60
HD 3167    ;2457586.91863;    -5.34; 0.83
HD 3167    ;2457586.99395;    -6.36; 0.59
HD 3167    ;2457587.09472;    -2.88; 0.57
HD 3167    ;2457587.90980;    -3.85; 0.93
HD 3167    ;2457587.99286;    -6.79; 0.62
HD 3167    ;2457588.10562;    -0.80; 0.59
HD 3167    ;2457588.93098;    -0.12; 0.87
HD 3167    ;2457589.86498;     6.56; 1.11
HD 3167    ;2457589.88594;     9.16; 1.66
HD 3167    ;2457591.91030;     5.06; 0.86
HD 3167    ;2457591.98903;     2.40; 0.56
HD 3167    ;2457592.12763;    -1.72; 0.57
HD 3167    ;2457592.87856;     5.01; 1.33
HD 3167    ;2457592.89846;     8.00; 1.68
HD 3167    ;2457596.97330;    -0.84; 0.61
HD 3167    ;2457597.12069;    -1.99; 0.85
HD 3167    ;2457597.97321;    -0.52; 0.60
HD 3167    ;2457598.11394;    -0.21; 0.63
HD 3167    ;2457598.98781;    -2.24; 0.57
HD 3167    ;2457599.11464;     0.37; 0.57
HD 3167    ;2457599.97628;    -2.42; 0.60
HD 3167    ;2457599.98683;     3.64; 0.91
HD 3167    ;2457600.85553;     1.81; 1.33
HD 3167    ;2457600.97662;    -3.57; 0.65
HD 3167    ;2457600.98655;    -0.26; 1.16
HD 3167    ;2457601.12199;    -0.31; 0.67
HD 3167    ;2457602.03162;    -1.99; 0.63
HD 3167    ;2457602.99004;    -9.22; 0.93
HD 3167    ;2457603.86094;    -1.67; 1.38
HD 3167    ;2457604.86696;    -3.79; 1.06
HD 3167    ;2457604.88856;    -0.16; 1.44
HD 3167    ;2457605.86592;    -6.70; 1.51
HD 3167    ;2457605.97769;    -7.01; 1.20
HD 3167    ;2457606.87953;    -1.85; 1.07
HD 3167    ;2457606.90071;    -8.40; 1.37
HD 3167    ;2457607.84014;    -7.13; 1.30
HD 3167    ;2457607.97574;    -1.54; 1.28
HD 3167    ;2457608.83360;    -3.50; 1.32
HD 3167    ;2457609.85173;     0.53; 1.00
HD 3167    ;2457610.84419;    -3.30; 1.40
HD 3167    ;2457611.00215;     0.77; 1.20
HD 3167    ;2457612.84429;    -0.41; 1.20
HD 3167    ;2457612.86448;     0.48; 1.65
HD 3167    ;2457612.91944;    -2.42; 0.67
HD 3167    ;2457613.84311;     1.29; 1.53
HD 3167    ;2457613.95479;    -4.02; 0.68
HD 3167    ;2457613.95727;     1.97; 1.31
HD 3167    ;2457614.12280;    -2.04; 0.65
HD 3167    ;2457614.64503; 19525.89; 0.72
HD 3167    ;2457614.73534; 19528.97; 0.75
HD 3167    ;2457614.84845;     3.42; 1.45
HD 3167    ;2457615.00174;    -3.61; 1.41
HD 3167    ;2457615.83178;    11.02; 1.39
HD 3167    ;2457615.85169;     0.83; 1.76
HD 3167    ;2457615.91043;    -3.45; 0.73
HD 3167    ;2457616.60331; 19533.71; 1.30
HD 3167    ;2457616.73635; 19532.82; 1.08
HD 3167    ;2457616.82661;     6.84; 1.60
HD 3167    ;2457616.91133;     2.66; 0.71
HD 3167    ;2457616.98308;     3.62; 1.19
HD 3167    ;2457617.67281; 19534.88; 0.73
HD 3167    ;2457617.74531; 19534.34; 0.69
HD 3167    ;2457617.90489;     2.20; 0.65
HD 3167    ;2457618.64469; 19533.95; 0.72
HD 3167    ;2457618.72130; 19532.77; 0.66
HD 3167    ;2457618.82425;    10.57; 1.46
HD 3167    ;2457618.91404;     2.51; 0.64
HD 3167    ;2457623.79165;    -1.78; 1.45
