Name,MPC,a,e,i,Omega,omega,lambda,beta,Dist,Epoch
416400,f6400,4.4217e+01,1.3253e-01,4.7859e-01,3.5715e+00,4.3027e+00,1.008,-0.288,38.941,2457014.8
160091,G0091,4.5089e+01,1.0942e-01,3.4592e-02,5.6315e+00,5.4628e+00,-0.243,0.013,42.890,2454293.9
160256,G0256,4.2957e+01,6.1910e-02,8.5643e-02,1.8074e+00,6.7043e-01,-0.114,-0.081,45.206,2454293.9
420356,g0356,4.2705e+01,7.8070e-03,1.9076e-02,5.4844e+00,2.5684e-01,2.332,0.000,43.026,2457417.9
427614,g7614,4.0101e+01,5.4031e-02,4.1736e-01,1.7427e+00,1.1666e+00,0.834,-0.346,41.156,2456952.9
434194,h4194,4.2566e+01,4.8046e-02,3.9654e-02,1.4720e+00,2.0148e+00,-3.072,0.040,40.585,2457136.9
434390,h4390,5.5209e+01,3.1870e-01,8.9675e-02,2.1432e+00,2.6705e-01,2.690,0.049,38.029,2457127.8
174567,H4567,4.5746e+01,1.4260e-01,3.7544e-01,3.2131e+00,3.1976e+00,-1.804,0.366,46.938,2457607.6
437360,h7360,1.1120e+02,6.7200e-01,5.4353e-01,3.1603e+00,4.0506e+00,0.555,-0.315,37.034,2457019.6
437871,h7871,4.2505e+01,7.2447e-02,3.7933e-01,3.5484e+00,2.0134e-01,-2.510,0.096,39.429,2456807.9
439858,h9858,4.2648e+01,4.1184e-02,5.5624e-02,2.3224e+00,3.2629e+00,-0.370,-0.023,40.965,2457170.9
181708,I1708,4.3721e+01,4.8059e-02,1.3526e-01,3.2796e+00,7.5531e-01,-2.646,0.046,41.779,2454530.9
181855,I1855,4.5980e+01,1.8245e-01,5.0059e-01,7.2602e-01,7.2312e-01,0.978,0.147,38.077,2454530.6
181874,I1874,5.2711e+01,2.5705e-01,3.0023e-01,3.4630e+00,5.6575e+00,-2.474,0.100,42.954,2454531.0
181902,I1902,1.2241e+02,6.9288e-01,4.5255e-01,3.6705e+00,2.4112e+00,0.450,0.046,40.779,2454360.9
182223,I2223,5.8489e+01,3.8460e-01,3.4701e-01,3.9728e+00,2.5468e+00,1.140,-0.117,40.693,2454530.6
182926,I2926,4.5755e+01,1.4640e-01,3.8310e-02,9.6733e-01,3.3244e+00,2.962,0.036,43.275,2454530.9
182934,I2934,4.4232e+01,1.0877e-01,2.0263e-01,4.2732e+00,4.4323e+00,-2.336,-0.070,43.365,2454529.9
183595,I3595,4.4558e+01,1.0465e-01,2.8990e-02,4.8315e+00,4.1021e+00,1.268,0.012,43.325,2454360.9
443843,i3843,4.6447e+01,1.1809e-01,1.8563e-01,3.5914e+00,5.8381e+00,-2.493,0.040,41.890,2456805.9
183963,I3963,4.4356e+01,1.0208e-01,4.2673e-02,1.8005e+00,2.2955e+00,3.020,0.041,41.879,2454529.9
444018,i4018,4.4154e+01,4.4245e-02,4.9253e-02,1.1451e+00,2.1208e+00,-2.516,0.024,42.433,2456805.9
444025,i4025,4.3963e+01,4.6412e-02,5.7875e-02,7.9055e-01,4.9322e+00,-2.498,0.007,44.567,2456856.8
444030,i4030,4.3431e+01,1.5033e-01,5.4505e-01,4.2066e+00,6.6199e-01,-0.533,0.558,38.806,2457282.1
184314,I4314,4.5146e+01,1.3982e-01,1.0067e-01,7.2431e-03,4.7044e+00,-2.743,-0.038,42.046,2454531.0
451657,j1657,7.6563e+01,5.1066e-01,4.1336e-01,3.0948e+00,5.1253e+00,0.682,-0.287,48.136,2457304.7
455171,j5171,4.5986e+01,1.2009e-01,3.6442e-02,1.9862e+00,2.3141e+00,-0.405,-0.024,45.240,2457170.8
455206,j5206,4.6666e+01,1.2420e-01,4.9114e-02,2.7035e+00,5.9096e+00,-2.765,0.037,43.985,2457164.8
455209,j5209,4.5103e+01,8.7030e-02,2.9810e-02,3.2205e+00,6.0175e+00,-2.172,0.024,43.279,2457185.8
1994ES2,J94E02S,4.5812e+01,1.1503e-01,1.8588e-02,2.7012e+00,1.7492e+00,-3.068,0.009,43.617,2457072.0
1994EV3,J94E03V,4.2889e+01,4.2356e-02,2.8938e-02,3.4058e-01,2.2742e-01,-2.381,-0.012,44.672,2457136.9
1995DB2,J95D02B,4.6472e+01,1.3540e-01,7.1628e-02,2.2450e+00,1.5917e-02,2.760,0.037,40.795,2457104.8
1995DC2,J95D02C,4.4094e+01,6.1977e-02,4.0893e-02,2.6908e+00,2.1030e+00,3.095,0.016,44.302,2457071.9
1995WY2,J95W02Y,4.6450e+01,1.2732e-01,2.8728e-02,1.3743e+00,1.9141e+00,1.730,0.011,45.527,2457071.7
1996KV1,J96K01V,4.5198e+01,1.1130e-01,1.4109e-01,1.6164e+00,3.3992e+00,-1.762,0.033,40.647,2451720.5
1996RQ20,J96R20Q,4.3856e+01,1.0045e-01,5.5275e-01,2.0155e-01,6.2634e+00,0.595,0.233,39.834,2456573.0
1996TK66,J96T66K,4.2641e+01,1.3257e-02,5.7840e-02,7.7854e-01,3.6248e+00,0.448,-0.018,43.031,2456621.8
1996TS66,J96T66S,4.3888e+01,1.2677e-01,1.2821e-01,4.9899e+00,2.4513e+00,1.111,0.085,38.326,2457046.9
1997CT29,J97C29T,4.3730e+01,3.0567e-02,1.7715e-02,1.3030e+00,3.6636e+00,2.657,0.018,44.599,2456365.9
1997CV29,J97C29V,4.2183e+01,4.6314e-02,1.4010e-01,2.1158e+00,5.6898e-01,2.790,0.091,40.241,2456365.9
