BJD,RV,ERV
2455664.86627,-3.64,1.11
2455664.86689,-6.28,1.04
2455664.8675,-3.87,1.12
2455664.86813,-7.43,1.17
2455664.86874,-4.27,1.24
2455667.98978,-0.17,1.1
2455667.99034,-1.6,1.11
2455667.99093,0.04,1.08
2455669.99925,1.21,0.9
2455669.99985,2.76,1.05
2455670.00045,-0.37,1.03
2455670.00108,-1.85,0.95
2455670.00169,-2.61,1.07
2455670.00242,-0.57,1.01
2455671.00567,1.86,0.98
2455671.00655,3.51,1.07
2455671.00714,2.61,1.0
2455671.86352,8.18,1.16
2455671.86423,9.31,1.22
2455671.86492,4.49,1.13
2455671.8655,4.7,1.16
2455672.90444,1.38,1.13
2455672.90502,4.14,1.11
2455672.9056,3.75,1.13
2455673.84006,1.68,1.18
2455673.84134,6.45,1.17
2455673.84205,1.89,1.13
2455703.7576,-1.93,1.12
2455703.75818,0.22,1.14
2455703.75875,-2.26,1.19
2455705.8331,5.4,1.24
2455705.83368,2.93,1.18
2455705.83424,5.31,1.14
2455706.73104,-0.15,1.17
2455706.73163,4.43,1.0
2455706.73221,3.11,1.03
2455707.72854,1.71,1.12
2455707.72913,-0.02,1.05
2455707.72975,-5.79,1.08
2455719.92637,6.74,1.05
2455719.92704,2.13,1.11
2455719.92769,3.07,1.08
2455719.92832,2.12,1.13
2455719.92896,3.74,1.11
2455719.92962,3.22,1.04
2455720.79898,1.13,1.08
2455720.79993,1.37,1.06
2455720.80072,3.99,1.19
2455720.80149,1.74,1.09
2455720.80247,2.6,1.1
2455720.80322,-1.67,1.02
2455721.86289,2.88,1.1
2455721.86528,4.23,1.07
2455721.86657,7.66,1.1
2455721.86789,6.13,1.06
2455721.86955,9.44,1.1
2455731.73356,-4.24,1.07
2455731.7344,-5.32,1.14
2455731.73522,-5.95,1.08
2455733.73749,-5.34,0.99
2455733.73809,-6.87,1.01
2455733.73869,-5.55,1.0
2455749.83295,-0.13,0.96
2455749.83368,-0.96,0.9
2455749.83447,-4.72,0.99
2455749.83527,0.0,0.97
2455749.83606,-3.37,1.0
