BJD,RV,ERV
2450536.77162,39.04,2.49
2450537.7645,75.93,1.75
2450550.72661,48.38,1.76
2450563.71983,-1.49,2.44
2450614.69333,76.92,1.68
2450793.90234,-22.83,1.57
2450794.96191,-32.74,1.59
2450831.93164,94.56,1.78
2451153.0332,54.88,2.29
2451155.01856,68.89,2.28
2451206.87793,-60.05,2.06
2451212.92549,74.47,2.27
2451213.88293,90.67,2.28
2451242.74023,70.93,2.11
2451298.72157,39.9,2.02
2451305.70801,-0.98,2.29
2451469.05273,-71.12,3.38
2451532.99609,32.62,2.3
2451535.00684,66.0,2.6
2451536.94922,62.0,1.93
2451540.00781,-22.41,2.17
2451581.84883,42.94,2.2
2451607.82779,38.92,2.53
2451626.73438,1.08,2.31
2451629.80566,-90.65,2.15
2451840.04883,-20.5,2.73
2451842.03582,29.07,1.96
2451860.05664,16.82,2.15
2451861.03711,-16.2,2.1
2451874.00586,32.81,2.96
2451880.01946,-93.69,2.64
2451895.00493,-108.89,2.3
2451906.96312,-72.55,2.04
2451910.89618,-100.25,1.91
2451913.96456,-19.86,1.45
2451914.9266,-0.08,1.53
2451927.90889,-22.48,1.57
2451969.78803,-69.37,2.75
2451971.80977,-18.32,2.58
2451979.74933,-44.09,2.52
2452000.71484,-55.03,3.04
2452033.71044,33.89,1.37
2452040.69009,-104.94,1.45
2452041.6994,-113.61,1.43
2452217.04492,-123.48,3.29
2452257.03439,-26.43,2.06
2452262.98773,-93.94,1.95
2452267.96362,10.76,1.24
2452278.93559,-51.69,2.47
2452281.98047,22.14,4.12
2452285.98783,5.13,2.15
2452287.95594,-59.17,2.83
2452298.89446,16.49,1.14
2452298.93945,12.67,1.72
2452299.77417,-4.92,1.18
2452306.80667,-113.55,1.68
2452315.80411,-26.35,1.38
2452316.85626,-52.93,1.6
2452333.81638,-107.1,1.51
2452334.73047,-112.56,2.19
2452335.78936,-102.73,1.43
2452338.83203,-1.46,4.71
2452345.78535,-55.56,2.04
2452348.77603,-130.57,1.92
2452359.81445,-46.68,2.29
2452360.69141,-60.97,2.9
2452375.73439,-60.07,2.05
2452380.69821,-87.59,2.46
2452388.68985,-33.44,1.55
2452408.71412,-109.23,1.35
