recno,LC,TBest,TBest2,Mbest,Mbest2,SolID,Source,Pf,e_Pf,P1O,e_P1O,P2O,e_P2O,P3O,e_P3O,EpG,e_EpG,EpBP,e_EpBP,EpRP,e_EpRP,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,AmpG,e_AmpG,AmpBP,e_AmpBP,AmpRP,e_AmpRP,[Fe/H],e_[Fe/H],R21G,e_R21G,R31G,e_R31G,phi21G,e_phi21G,phi31G,e_phi31G,o_EpG,o_EpBP,o_EpRP,RA_ICRS,DE_ICRS,_RA.icrs,_DE.icrs
5319,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4685992255560514560,nan,nan,2.07677721,9.359E-5,nan,nan,nan,nan,1697.10216813,1.3235E-4,1697.39803619,1.3235E-4,1697.21554864,1.3235E-4,15.917,3.0E-4,15.974,0.0014,15.4097,0.0014,0.328501,0.003752,0.30926,0.005178,0.229143,0.00524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30,29,30,14.35392982561,-72.59244753511,14.35392982561,-72.59244753511
5320,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4685993247633669632,38.05968458,0.00186536,nan,nan,nan,nan,nan,nan,1620.18527136,0.00263801,1619.45224444,0.00263801,1622.35590704,0.00263801,13.7363,3.0E-4,14.2909,0.0022,13.0467,6.0E-4,0.437649,7.73E-4,0.561131,0.00685,0.348387,0.001673,nan,nan,0.26204,0.00114,0.09683,0.00129,4.72814,0.00421,2.9839,0.00974,34,31,32,14.72949384832,-72.55207841911,14.72949384832,-72.55207841911
5321,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686100110699959424,nan,nan,0.99307711,2.65E-6,nan,nan,nan,nan,1698.72666608,3.75E-6,1698.77278724,3.75E-6,1698.70126604,3.75E-6,16.9533,9.0E-4,17.1216,0.0043,16.6252,0.0058,0.570211,0.003739,0.634097,0.024212,0.424223,0.027781,nan,nan,0.32538,0.0038,0.07465,0.00302,4.10591,0.02123,2.00038,0.08798,30,24,24,18.65645954712,-74.31505111647,18.65645954712,-74.31505111647
5322,LC,ACEP,,FIRST_OVERTONE,,369295549951641967,4686183467424697088,nan,nan,0.64081567,1.4E-6,nan,nan,nan,nan,1698.95161533,1.98E-6,1698.93217128,1.98E-6,1698.91371326,1.98E-6,18.6454,0.0018,18.7634,0.0097,18.2867,0.0096,0.457477,0.00873,0.457009,0.036599,0.345987,0.036429,nan,nan,0.25976,0.01304,nan,nan,3.2486,0.06134,nan,nan,32,27,29,24.17826138622,-73.89280031743,24.17826138622,-73.89280031743
5323,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686188037269885440,1.28123659,1.58E-6,nan,nan,nan,nan,nan,nan,1696.88479918,2.23E-6,1772.61452219,2.23E-6,1772.71335273,2.23E-6,17.1785,4.0E-4,17.5746,0.0089,16.8593,0.0077,0.909368,0.00224,0.551282,0.040023,0.332309,0.028659,-0.27,0.22,0.47413,0.00287,0.2524,0.00261,3.70969,0.00722,1.63565,0.01263,30,22,23,24.05815418614,-73.77862555676,24.05815418614,-73.77862555676
5324,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686246414465525376,nan,nan,2.90696341,3.864E-5,nan,nan,nan,nan,1693.71755365,5.464E-5,1693.6872755,5.464E-5,1693.84646838,5.464E-5,15.4653,2.0E-4,15.7164,0.0012,15.0489,0.0012,0.131753,7.72E-4,0.131176,0.004436,0.099338,0.006251,nan,nan,0.07322,0.00987,nan,nan,4.65616,0.42632,nan,nan,31,27,27,22.42235677879,-73.72096069419,22.42235677879,-73.72096069419
5325,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686265342386468480,1.03104935,2.96E-6,nan,nan,nan,nan,nan,nan,1698.78532748,4.18E-6,1698.90959801,4.18E-6,1698.91701516,4.18E-6,17.8738,0.001,18.1827,0.0072,17.3427,0.0079,0.682591,0.014297,0.396467,0.03928,0.306184,0.026947,-0.36,0.22,0.50381,0.01308,0.37665,0.01492,3.88158,0.026,1.86273,0.05159,29,23,22,22.25943376574,-73.48014401099,22.25943376574,-73.48014401099
5326,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686268129820068480,nan,nan,1.05130496,6.84E-6,nan,nan,nan,nan,1697.87882413,9.68E-6,1697.87882413,9.68E-6,1697.87882413,9.68E-6,17.1195,6.0E-4,nan,nan,nan,nan,0.303816,0.002496,nan,nan,nan,nan,nan,nan,0.22633,0.00475,nan,nan,4.43953,0.03512,nan,nan,25,19,18,23.07528365525,-73.46982233614,23.07528365525,-73.46982233614
5327,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686285859447634560,8.11353031,4.359E-5,nan,nan,nan,nan,nan,nan,1679.76820858,6.165E-5,1679.65370784,6.165E-5,1679.88920906,6.165E-5,14.8053,1.0E-4,15.1286,0.0011,14.304,8.0E-4,0.635155,6.2E-4,0.824279,0.004083,0.488828,0.003575,nan,nan,0.27769,7.5E-4,nan,nan,5.4605,0.00515,nan,nan,30,30,30,18.20195380312,-74.37215015459,18.20195380312,-74.37215015459
5328,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686340624573715456,1.58946637,5.24E-6,nan,nan,nan,nan,nan,nan,1697.4391612,7.41E-6,1697.37968286,7.41E-6,1697.47237987,7.41E-6,17.2208,6.0E-4,17.441,0.0046,16.7858,0.0036,1.082921,0.004429,1.11257,0.021944,0.644389,0.020091,-0.41,0.22,0.51821,0.00342,0.33477,0.00192,4.20981,0.00792,2.2441,0.01687,25,23,24,19.68200465688,-73.6951469611,19.68200465688,-73.6951469611
5329,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686353372041032960,1.6621067,4.08E-6,nan,nan,nan,nan,nan,nan,1696.75117861,5.77E-6,1697.09177346,5.77E-6,1697.09168789,5.77E-6,16.9827,8.0E-4,17.3103,0.0104,16.6332,0.0116,1.085686,0.002163,0.650851,0.025905,0.467213,0.01509,-0.34,0.22,0.4964,0.00394,0.30887,0.00264,3.94651,0.00765,1.99477,0.01244,32,23,24,16.8435889929,-74.02293554106,16.8435889929,-74.02293554106
5330,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686363027122250240,nan,nan,1.16791381,3.84E-6,nan,nan,nan,nan,1698.41624993,5.43E-6,1698.44221798,5.43E-6,1698.44004246,5.43E-6,16.5374,3.0E-4,16.694,0.0022,16.2072,0.0022,0.455956,0.001747,0.537941,0.010904,0.338029,0.010892,nan,nan,0.22824,0.00253,0.06718,0.00264,4.23129,0.01162,2.38651,0.06413,34,32,32,17.94919168422,-73.80635903195,17.94919168422,-73.80635903195
5331,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686368632058567424,nan,nan,1.68810725,4.66E-6,nan,nan,nan,nan,1696.46698749,6.59E-6,1696.48428866,6.59E-6,1696.5458402,6.59E-6,16.3379,4.0E-4,16.5646,0.0031,15.9098,0.0023,0.492245,0.003039,0.598636,0.01559,0.239117,0.009978,nan,nan,0.24293,0.00266,0.04418,0.00194,4.27053,0.01237,3.1834,0.06325,31,30,28,16.9921965453,-73.84531468786,16.9921965453,-73.84531468786
5332,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686369903368907264,nan,nan,1.07694172,4.65E-6,nan,nan,nan,nan,1698.88649372,6.58E-6,1698.87909618,6.58E-6,1698.91162917,6.58E-6,16.5317,3.0E-4,16.6809,0.0032,16.201,0.0061,0.385236,0.001071,0.38767,0.011602,0.270911,0.039723,nan,nan,0.22538,0.00356,0.04928,0.00314,4.17867,0.01588,2.33174,0.0732,28,23,23,16.7162707977,-73.8783655116,16.7162707977,-73.8783655116
5333,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686396635246245632,nan,nan,1.34259793,9.04E-6,nan,nan,nan,nan,1697.7582101,1.278E-5,1697.7582101,1.278E-5,1697.7582101,1.278E-5,17.2294,0.0012,nan,nan,nan,nan,0.661612,0.004738,nan,nan,nan,nan,nan,nan,0.34875,0.00563,0.20413,0.00544,3.66136,0.01239,1.14631,0.01701,27,17,21,19.44468372211,-73.46807743422,19.44468372211,-73.46807743422
5334,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686397081922870272,nan,nan,0.59656221,8.5E-7,nan,nan,nan,nan,1699.50490075,1.21E-6,1699.50490075,1.21E-6,1699.50490075,1.21E-6,17.3877,4.0E-4,nan,nan,nan,nan,0.543618,0.002111,nan,nan,nan,nan,nan,nan,0.27996,0.00374,nan,nan,3.65388,0.01874,nan,nan,25,18,20,19.01823739128,-73.49744985229,19.01823739128,-73.49744985229
5335,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686410997616777216,nan,nan,0.70315912,2.77E-6,nan,nan,nan,nan,1699.17190081,3.92E-6,1699.17843687,3.92E-6,1699.23068977,3.92E-6,17.9648,7.0E-4,18.1416,0.0051,17.4916,0.0055,0.461254,0.002129,0.488609,0.020448,0.283447,0.017413,nan,nan,0.27656,0.00653,nan,nan,3.96568,0.02805,nan,nan,24,21,21,19.25511278971,-73.32383588091,19.25511278971,-73.32383588091
5336,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686415361303519488,nan,nan,3.28467337,6.583E-5,nan,nan,nan,nan,1694.11546292,9.309E-5,1694.11546292,9.309E-5,1694.11546292,9.309E-5,15.7018,3.0E-4,nan,nan,nan,nan,0.331524,0.001871,nan,nan,nan,nan,nan,nan,0.14631,0.00518,0.12118,0.00304,3.74249,0.02361,0.31001,0.05818,25,20,19,19.10270804927,-73.24991186346,19.10270804927,-73.24991186346
5337,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686501191926489984,2.39396603,9.18E-6,nan,nan,nan,nan,nan,nan,1694.46660031,1.298E-5,1694.50550825,1.298E-5,1694.54395792,1.298E-5,16.5801,4.0E-4,16.8369,0.0078,16.1363,0.0049,0.545453,0.002332,0.657536,0.03012,0.360752,0.019268,0.09,0.22,0.36587,0.00256,nan,nan,4.36053,0.01488,nan,nan,25,21,24,20.66344729213,-73.21132803529,20.66344729213,-73.21132803529
5338,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686511564273519616,nan,nan,0.83869439,5.49E-6,nan,nan,nan,nan,1698.87367564,7.76E-6,1698.98397507,7.76E-6,1699.0126377,7.76E-6,17.8161,8.0E-4,18.0851,0.0093,17.3428,0.0133,0.406314,0.003171,0.375047,0.02347,0.215588,0.039025,nan,nan,0.25792,0.00834,0.07735,0.008,4.07615,0.03003,2.0977,0.06672,30,24,27,19.68769013968,-73.106754152,19.68769013968,-73.106754152
5339,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686514003811191424,1.74724479,3.08E-6,nan,nan,nan,nan,nan,nan,1696.09008984,4.35E-6,1696.11619982,4.35E-6,1696.15532959,4.35E-6,16.889,4.0E-4,17.0049,0.0029,16.2828,0.0023,0.908757,0.002476,0.838708,0.018086,0.506314,0.014002,-0.69,0.22,0.6025,0.00453,0.36492,0.00293,4.09859,0.00888,2.14486,0.01256,28,25,27,20.37077584331,-72.98518554673,20.37077584331,-72.98518554673
5340,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686517512802092416,nan,nan,1.18775913,3.86E-6,nan,nan,nan,nan,1698.0117249,5.45E-6,1698.02863622,5.45E-6,1698.02870597,5.45E-6,16.5088,3.0E-4,16.6841,0.0021,16.1652,0.0029,0.503272,0.001296,0.577029,0.009183,0.337801,0.009577,nan,nan,0.26117,0.00295,0.08476,0.00295,4.16042,0.0113,1.74005,0.03253,29,28,28,21.10781069786,-72.93605225386,21.10781069786,-72.93605225386
5341,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4686519230789338368,4.49082392,3.189E-5,nan,nan,nan,nan,nan,nan,1690.36031731,4.51E-5,1690.39288645,4.51E-5,1690.57423527,4.51E-5,15.7346,3.0E-4,16.0591,0.0027,15.2498,0.0021,0.520271,0.001251,0.575849,0.012896,0.324464,0.018482,-0.07,0.23,0.42143,0.0018,nan,nan,4.63365,0.00548,nan,nan,28,26,24,20.53355640494,-72.96499277504,20.53355640494,-72.96499277504
5342,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4686649763433745280,nan,nan,2.54903896,1.825E-5,nan,nan,nan,nan,1693.74980821,2.58E-5,1693.78593451,2.58E-5,1693.90994057,2.58E-5,15.9518,4.0E-4,16.2424,0.0023,15.511,0.0017,0.360519,0.00154,0.395643,0.014876,0.24677,0.013047,nan,nan,0.25948,0.00365,0.09266,0.0041,4.01785,0.01267,1.65052,0.04266,29,25,25,24.11928651012,-73.14194661001,24.11928651012,-73.14194661001
5343,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687146605263275648,1.56047906,7.81E-6,nan,nan,nan,nan,nan,nan,1698.19737268,1.105E-5,1696.79448924,1.105E-5,1698.24584498,1.105E-5,17.5531,6.0E-4,17.8504,0.013,17.0969,0.0108,0.569661,0.002337,0.623538,0.025751,0.475908,0.027154,-0.04,0.22,0.40554,0.00587,nan,nan,4.32984,0.01005,nan,nan,31,26,25,16.47535814241,-73.43390770209,16.47535814241,-73.43390770209
5344,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687154473643114752,1.2789691,4.38E-6,nan,nan,nan,nan,nan,nan,1698.16880756,6.19E-6,1698.21341035,6.19E-6,1698.2149635,6.19E-6,17.0192,0.0013,17.1711,0.0038,16.5969,0.003,1.294408,0.00826,0.981439,0.013003,0.734762,0.014314,-0.67,0.22,0.59824,0.00458,0.40584,0.00374,3.90937,0.00583,1.75833,0.01856,29,24,27,17.47895911225,-73.26951995649,17.47895911225,-73.26951995649
5345,LC,DCEP,,MULTI,1O/2O,369295549951641967,4687161994123426432,nan,nan,0.82132257,2.97E-6,0.65746816,3.377E-5,nan,nan,1699.5868393,4.26E-6,1740.7082058,4.26E-6,1699.53601797,4.26E-6,17.2561,6.0E-4,17.4881,0.0066,16.8629,0.0052,0.474488,8.81E-4,0.457285,0.00939,0.270631,0.007418,nan,nan,0.28793,0.00488,0.10197,0.00466,3.98938,0.01647,1.96367,0.04153,28,22,24,17.85983043638,-73.34629389428,17.85983043638,-73.34629389428
5346,LC,T2CEP,RV_TAU,NOT_APPLICABLE,,369295549951641967,4687163097939503488,28.99569182,0.00293257,nan,nan,nan,nan,nan,nan,1631.52337852,0.00414728,1631.52337852,0.00414728,1631.52337852,0.00414728,15.9359,4.0E-4,nan,nan,nan,nan,0.261359,0.001428,nan,nan,nan,nan,nan,nan,0.35657,0.00661,nan,nan,5.51113,0.02998,nan,nan,22,18,17,18.32945753331,-73.30219322079,18.32945753331,-73.30219322079
5347,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687166602632743296,nan,nan,1.4384202,5.23E-6,nan,nan,nan,nan,1697.38359643,7.39E-6,1697.36503005,7.39E-6,1697.42472904,7.39E-6,16.3315,4.0E-4,16.5065,0.0036,15.9669,0.0077,0.486876,0.001492,0.553525,0.010166,0.338942,0.021394,nan,nan,0.18825,0.00249,nan,nan,4.17187,0.01052,nan,nan,28,26,27,18.85767876394,-73.21569737151,18.85767876394,-73.21569737151
5348,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687177318570127616,1.9201056,7.41E-6,nan,nan,nan,nan,nan,nan,1697.01963307,1.047E-5,1697.12615407,1.047E-5,1697.19590975,1.047E-5,17.3784,8.0E-4,17.5422,0.0066,16.766,0.0074,0.67347,0.002011,0.591254,0.0192,0.330383,0.018844,-0.4,0.22,0.51497,0.00431,0.27056,0.00353,4.14475,0.02493,2.07467,0.01888,32,28,26,18.45606209014,-73.10313445638,18.45606209014,-73.10313445638
5349,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687180861924054016,3.04589346,1.677E-5,nan,nan,nan,nan,nan,nan,1693.13583038,2.372E-5,1693.36729991,2.372E-5,1692.89350857,2.372E-5,16.2432,3.0E-4,16.5715,0.0026,15.7526,0.0022,0.507493,0.001045,0.521984,0.010652,0.390134,0.009631,-0.29,0.22,0.48288,0.00315,0.27002,0.00267,4.10337,0.0094,2.57883,0.01254,30,26,27,18.24025890458,-73.08353476706,18.24025890458,-73.08353476706
5350,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687196633045178624,nan,nan,1.07097705,8.41E-6,nan,nan,nan,nan,1698.46969394,1.19E-5,1699.20675091,1.19E-5,1698.53616131,1.19E-5,17.616,5.0E-4,17.7379,0.0131,16.9806,0.0036,0.207087,0.00192,0.265914,0.045252,0.123211,0.048248,nan,nan,0.13804,0.01068,nan,nan,4.79568,0.09862,nan,nan,27,27,24,16.15886085993,-73.3395405174,16.15886085993,-73.3395405174
5351,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687199725421436416,1.99116864,5.87E-6,nan,nan,nan,nan,nan,nan,1697.02472695,8.29E-6,1697.18398324,8.29E-6,1697.18611045,8.29E-6,17.2315,5.0E-4,17.5118,0.0081,16.7275,0.004,0.793263,0.00307,0.604986,0.02092,0.439547,0.01377,-0.35,0.22,0.49862,0.0031,0.31264,0.00329,4.17772,0.00885,2.37321,0.01686,28,22,22,16.2850435059,-73.2203312013,16.2850435059,-73.2203312013
5352,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687200412616159744,nan,nan,2.4768691,2.572E-5,nan,nan,nan,nan,1694.02273966,3.637E-5,1693.99545086,3.637E-5,1693.99799104,3.637E-5,16.2074,3.0E-4,16.4573,0.0021,15.7454,0.0016,0.356175,0.001385,0.389394,0.009818,0.262146,0.008093,nan,nan,0.1203,0.00281,nan,nan,3.55609,0.03562,nan,nan,26,23,25,16.54646777366,-73.1562694903,16.54646777366,-73.1562694903
5353,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687207318924485760,nan,nan,2.90743947,2.087E-5,nan,nan,nan,nan,1693.43435299,2.952E-5,1693.4703609,2.952E-5,1693.46829946,2.952E-5,16.1065,6.0E-4,16.3903,0.0016,15.6249,0.0014,0.346854,0.003595,0.287619,0.008239,0.173949,0.007406,nan,nan,0.04183,0.00642,0.13286,0.00435,3.53843,0.10124,6.15272,0.04369,28,26,26,17.26896699079,-73.0684245477,17.26896699079,-73.0684245477
5354,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687209174350281472,3.82542388,6.467E-5,nan,nan,nan,nan,nan,nan,1690.78252031,9.145E-5,1690.72026297,9.145E-5,1690.79459501,9.145E-5,16.2087,5.0E-4,16.4951,0.0029,15.7181,0.0021,0.839016,0.001551,0.913925,0.014582,0.600336,0.011651,-0.41,0.22,0.51842,0.0022,0.29269,0.00187,4.33746,0.00704,2.50091,0.01043,29,23,24,17.40398164374,-72.96158916333,17.40398164374,-72.96158916333
5355,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687211991849721472,1.87895677,1.831E-5,nan,nan,nan,nan,nan,nan,1696.27728728,2.589E-5,1696.37761756,2.589E-5,1696.42989168,2.589E-5,16.7886,4.0E-4,16.9781,0.0054,16.3374,0.0211,0.47744,0.001247,0.532989,0.016745,0.419351,0.080174,-0.24,0.22,0.46634,0.00401,0.25778,0.00608,4.00248,0.01135,1.84368,0.016,27,21,20,16.36092728275,-73.13703487899,16.36092728275,-73.13703487899
5356,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687214190873026176,1.69658829,3.57E-6,nan,nan,nan,nan,nan,nan,1697.26625325,5.05E-6,1697.2784146,5.05E-6,1697.30424977,5.05E-6,16.9625,8.0E-4,17.1569,0.007,16.5387,0.0069,1.197201,0.004498,1.452699,0.032456,0.881698,0.025345,nan,nan,0.72958,0.00377,0.44507,0.00313,4.22791,0.0095,2.6748,0.01564,28,27,25,15.87202417687,-73.14144491304,15.87202417687,-73.14144491304
5357,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687214908123488256,nan,nan,0.69183521,3.82E-6,nan,nan,nan,nan,1699.8846356,5.41E-6,1699.88426823,5.41E-6,1699.86120755,5.41E-6,18.15,8.0E-4,18.3496,0.0078,17.6579,0.0067,0.279305,0.002951,0.288268,0.044125,0.19449,0.029155,nan,nan,0.1945,0.00957,0.1,0.00905,3.23108,0.04428,0.58801,0.12678,28,20,21,15.79851332304,-73.14163245735,15.79851332304,-73.14163245735
5358,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687217175867825792,1.64480817,9.59E-6,nan,nan,nan,nan,nan,nan,1698.00155505,1.357E-5,1696.50744138,1.357E-5,1698.08978398,1.357E-5,16.8924,0.001,17.0318,0.0047,16.5042,0.006,0.699132,0.003837,0.520204,0.016633,0.490096,0.018789,-0.34,0.22,0.49576,0.00536,0.21042,0.00532,3.85525,0.02356,1.63556,0.03181,29,24,26,16.21817514855,-73.02725112042,16.21817514855,-73.02725112042
5359,LC,DCEP,,MULTI,F/2O,369295549951641967,4687218928216187776,1.22260595,1.866E-5,nan,nan,0.81849389,7.761E-5,nan,nan,1698.47816796,1.068E-5,1698.44654486,1.068E-5,1698.43880168,1.068E-5,18.0038,0.0014,18.097,0.0131,17.4313,0.0069,0.397365,0.002036,0.208023,0.018592,0.341541,0.009749,nan,nan,0.24805,0.00825,nan,nan,3.865,0.02694,nan,nan,28,24,24,16.85579029811,-73.04127220825,16.85579029811,-73.04127220825
5360,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687219344835000704,4.74365747,7.325E-5,nan,nan,nan,nan,nan,nan,1688.44241762,1.036E-4,1688.51435478,1.036E-4,1688.69113155,1.036E-4,16.031,3.0E-4,16.4031,0.0059,15.5108,0.0021,0.680401,0.001023,0.838706,0.016031,0.525434,0.010769,-0.17,0.23,0.45133,0.00187,0.22871,0.00189,4.71112,0.01014,2.82948,0.00985,28,26,28,16.74583085101,-73.03633283297,16.74583085101,-73.03633283297
5361,LC,DCEP,,MULTI,F/2O,369295549951641967,4687219997669988352,1.29161274,3.71E-6,nan,nan,0.82630877,5.475E-5,nan,nan,1697.81482053,3.4E-6,1697.81265051,3.4E-6,1697.81433566,3.4E-6,16.8003,4.0E-4,17.0007,0.0056,16.4613,0.028,0.497149,6.37E-4,0.599768,0.007868,0.679833,0.039582,nan,nan,0.26938,0.00299,0.10664,0.00339,4.13667,0.0183,2.41557,0.04097,31,28,21,16.79657227547,-72.99965163565,16.79657227547,-72.99965163565
5362,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687221303339891456,1.39592578,9.3E-7,nan,nan,nan,nan,nan,nan,1697.24438564,1.32E-6,1697.30772976,1.32E-6,1697.31911952,1.32E-6,16.992,4.0E-4,17.2456,0.0046,16.6224,0.0033,1.123444,0.00206,0.999544,0.02719,0.625772,0.016029,-0.28,0.22,0.47847,0.00199,0.31016,0.00159,3.73636,0.00469,1.34182,0.00702,33,29,30,17.28134798602,-72.91828217944,17.28134798602,-72.91828217944
5363,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687222265412525568,1.83160571,6.83E-6,nan,nan,nan,nan,nan,nan,1697.45189554,9.66E-6,1697.45042663,9.66E-6,1697.50708828,9.66E-6,16.8264,7.0E-4,17.0785,0.0045,16.3757,0.0049,0.838901,0.002643,0.960564,0.020287,0.464536,0.023708,-0.38,0.22,0.50967,0.00307,0.35006,0.00241,3.85735,0.0071,1.77651,0.00857,31,31,29,17.18636497442,-72.8946423345,17.18636497442,-72.8946423345
5364,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687223742881408768,1.52664293,6.68E-6,nan,nan,nan,nan,nan,nan,1697.95400988,9.45E-6,1697.88149538,9.45E-6,1697.96335206,9.45E-6,17.3394,4.0E-4,17.5343,0.0035,16.8239,0.0039,0.58815,0.002242,0.596225,0.012748,0.23228,0.035114,-0.19,0.22,0.451,0.00539,0.33353,0.00481,4.05003,0.01135,1.95484,0.01539,28,25,25,16.6457150751,-72.95060313711,16.6457150751,-72.95060313711
5365,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687228518886188032,nan,nan,1.84743544,1.783E-5,nan,nan,nan,nan,1696.92743323,2.521E-5,1696.92743323,2.521E-5,1696.92743323,2.521E-5,16.8794,6.0E-4,nan,nan,nan,nan,0.262882,0.001532,nan,nan,nan,nan,nan,nan,0.10774,0.00545,nan,nan,5.00403,0.052,nan,nan,30,20,19,17.76090412094,-73.03039640172,17.76090412094,-73.03039640172
5366,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687233084415666048,1.44563942,3.51E-6,nan,nan,nan,nan,nan,nan,1697.38639671,4.97E-6,1697.4139821,4.97E-6,1697.43929826,4.97E-6,17.4678,5.0E-4,17.6166,0.0037,16.9361,0.003,1.103679,0.005408,0.97098,0.016103,0.63388,0.014547,-0.26,0.22,0.47164,0.00408,0.35163,0.00413,3.97966,0.00839,1.59829,0.0145,30,25,27,17.80933981938,-72.90252087868,17.80933981938,-72.90252087868
5367,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687233741566375424,3.31667107,2.027E-5,nan,nan,nan,nan,nan,nan,1693.58329779,2.867E-5,1693.64600356,2.867E-5,1693.69944623,2.867E-5,16.0947,4.0E-4,16.4064,0.003,15.6178,0.0018,0.479955,0.001953,0.521484,0.013457,0.356761,0.008417,-0.02,0.22,0.40001,0.00242,0.14444,0.00315,4.31471,0.0074,2.60916,0.01541,29,26,27,17.9113538716,-72.90859618387,17.9113538716,-72.90859618387
5368,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687233913365052672,nan,nan,2.9446844,2.043E-5,nan,nan,nan,nan,1695.2435164,2.889E-5,1768.84893157,2.889E-5,1768.89939894,2.889E-5,15.3723,2.0E-4,15.5908,0.0031,14.9771,0.005,0.322654,0.001021,0.412813,0.011354,0.240835,0.016707,nan,nan,0.11188,0.00246,nan,nan,4.00913,0.02448,nan,nan,29,24,24,18.04695978807,-72.87760068097,18.04695978807,-72.87760068097
5369,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687238375816510336,nan,nan,0.5482119,5.02E-6,nan,nan,nan,nan,1699.60552833,7.1E-6,1699.68346585,7.1E-6,1699.70324682,7.1E-6,17.8766,5.0E-4,18.0177,0.005,17.504,0.006,0.105391,0.002041,0.134192,0.0197,0.146002,0.053978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,28,29,18.91113232901,-72.7651028378,18.91113232901,-72.7651028378
5370,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687243087414838784,1.48685182,9.95E-6,nan,nan,nan,nan,nan,nan,1697.68097922,1.407E-5,1697.72156078,1.407E-5,1697.7002611,1.407E-5,17.1434,6.0E-4,17.3673,0.0036,16.7108,0.0031,0.406117,0.001576,0.426273,0.01834,0.238175,0.012035,-0.38,0.22,0.50796,0.009,0.3004,0.00559,3.75735,0.01275,2.10346,0.02191,35,29,33,18.85551490278,-72.67725456587,18.85551490278,-72.67725456587
5371,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4687244594939996416,nan,nan,1.50955787,6.24E-6,nan,nan,nan,nan,1738.36893351,8.82E-6,1738.3903101,8.82E-6,1738.41133965,8.82E-6,16.5131,4.0E-4,16.7202,0.0025,16.1216,0.0024,0.453194,0.001444,0.591015,0.009976,0.347025,0.010231,nan,nan,0.15245,0.00296,nan,nan,3.98086,0.02077,nan,nan,27,27,28,17.52498083062,-72.90782288614,17.52498083062,-72.90782288614
5372,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4687246317230795136,3.98818934,3.052E-5,nan,nan,nan,nan,nan,nan,1691.96889859,4.316E-5,1692.21167627,4.316E-5,1692.05041833,4.316E-5,16.1251,4.0E-4,16.4548,0.0027,15.6234,0.0017,0.537629,0.002149,0.477529,0.016966,0.35217,0.017058,-0.07,0.23,0.42131,0.00163,0.1215,0.00282,4.60883,0.01216,2.95805,0.03239,27,21,24,17.66252996026,-72.80276536826,17.66252996026,-72.80276536826
