recno,LC,TBest,TBest2,Mbest,Mbest2,SolID,Source,Pf,e_Pf,P1O,e_P1O,P2O,e_P2O,P3O,e_P3O,EpG,e_EpG,EpBP,e_EpBP,EpRP,e_EpRP,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,AmpG,e_AmpG,AmpBP,e_AmpBP,AmpRP,e_AmpRP,[Fe/H],e_[Fe/H],R21G,e_R21G,R31G,e_R31G,phi21G,e_phi21G,phi31G,e_phi31G,o_EpG,o_EpBP,o_EpRP,RA_ICRS,DE_ICRS,_RA.icrs,_DE.icrs
539,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756328667157271552,nan,nan,1.00529199,5.51E-6,nan,nan,nan,nan,1734.7169029,7.79E-6,1734.72857561,7.79E-6,1734.75096893,7.79E-6,16.7844,5.0E-4,17.0667,0.0027,16.3728,0.0058,0.276477,0.001681,0.289422,0.010924,0.202995,0.014502,nan,nan,0.2091,0.00606,nan,nan,3.89993,0.05132,nan,nan,21,22,22,85.01352151985,-63.850658309,85.01352151985,-63.850658309
540,LC,DCEP,,MULTI,F/2O,369295549951641967,4756390617759648000,0.66406335,2.69E-6,nan,nan,0.40313127,9.87E-6,nan,nan,1734.67588934,3.56E-6,1734.70023594,3.56E-6,1734.69145155,3.56E-6,17.3119,0.0018,17.4905,0.0087,16.9152,0.0075,0.297431,0.002539,0.437043,0.012365,0.213084,0.010633,nan,nan,0.24269,0.00816,0.19829,0.01219,3.23075,0.08351,1.48092,0.09836,23,22,22,89.26766048628,-64.54747542317,89.26766048628,-64.54747542317
541,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756497923222089344,nan,nan,1.06165736,3.56E-6,nan,nan,nan,nan,1733.94034098,5.03E-6,1734.01735412,5.03E-6,1733.95025709,5.03E-6,16.447,3.0E-4,16.6699,0.002,16.0719,0.0028,0.420095,0.001731,0.44057,0.032401,0.307089,0.020854,nan,nan,0.25161,0.00379,nan,nan,4.42747,0.0136,nan,nan,22,22,23,87.94692293819,-63.68491377254,87.94692293819,-63.68491377254
542,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756932745718241920,nan,nan,1.11179427,5.39E-6,nan,nan,nan,nan,1733.92901332,7.63E-6,1733.95836797,7.63E-6,1733.98523128,7.63E-6,16.8063,3.0E-4,17.104,0.0039,16.3437,0.0043,0.255197,0.001267,0.334085,0.013144,0.192892,0.010334,nan,nan,0.16202,0.00386,nan,nan,3.84687,0.04473,nan,nan,21,21,20,84.23831436378,-64.78099570125,84.23831436378,-64.78099570125
543,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4757027681676827520,nan,nan,2.66363435,2.167E-5,nan,nan,nan,nan,1730.4226969,3.065E-5,1730.44897653,3.065E-5,1730.49846214,3.065E-5,15.4952,2.0E-4,15.8006,0.0316,15.1088,0.0061,0.340835,9.41E-4,0.264042,0.097142,0.156396,0.019823,nan,nan,0.18464,0.00167,nan,nan,3.60006,0.02079,nan,nan,26,20,20,82.69344345454,-63.98240180234,82.69344345454,-63.98240180234
544,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4755823441560872704,3.87048064,1.444E-5,nan,nan,nan,nan,nan,nan,1675.62865342,2.042E-5,1675.6168909,2.042E-5,1675.66432586,2.042E-5,15.6405,1.0E-4,16.0005,0.0013,15.1184,8.0E-4,0.426774,6.76E-4,0.524643,0.006329,0.325227,0.005464,0.06,0.22,0.37454,0.00161,0.13651,0.00163,4.35628,0.00439,2.60127,0.01459,55,52,55,88.87625149736,-66.09933595024,88.87625149736,-66.09933595024
545,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4755861817083288192,nan,nan,0.33094301,1.49E-6,nan,nan,nan,nan,1770.20838537,2.11E-6,1770.20838537,2.11E-6,1770.20838537,2.11E-6,18.2637,0.001,nan,nan,nan,nan,0.298601,0.002777,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21,17,15,88.80629930472,-65.61547801371,88.80629930472,-65.61547801371
546,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4755900785333647104,5.20428244,9.387E-5,nan,nan,nan,nan,nan,nan,1724.93626788,1.3276E-4,1725.26181446,1.3276E-4,1724.96865304,1.3276E-4,14.2682,1.0E-4,14.5741,8.0E-4,13.8021,6.0E-4,0.104596,4.65E-4,0.072937,0.002876,0.043405,0.002879,0.27,0.23,0.32844,0.00491,nan,nan,4.40465,0.01958,nan,nan,24,20,21,87.90442758064,-65.53189821597,87.90442758064,-65.53189821597
547,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4755908340169181312,6.42089023,5.2498E-4,nan,nan,nan,nan,nan,nan,1717.57924844,7.4243E-4,1717.57924844,7.4243E-4,1717.57924844,7.4243E-4,15.729,0.0034,nan,nan,nan,nan,0.379769,0.009604,nan,nan,nan,nan,nan,nan,0.18352,0.04677,nan,nan,5.41218,1.13335,nan,nan,22,16,18,88.33322316725,-65.57859735615,88.33322316725,-65.57859735615
548,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4756021525454524416,3.53239315,3.209E-5,nan,nan,nan,nan,nan,nan,1726.07700531,4.539E-5,1726.07700531,4.539E-5,1726.07700531,4.539E-5,15.3125,6.0E-4,nan,nan,nan,nan,0.859309,7.58E-4,nan,nan,nan,nan,-0.44,0.22,0.5285,0.00481,nan,nan,3.67023,0.00654,nan,nan,21,20,19,88.55214673487,-65.06814317714,88.55214673487,-65.06814317714
