HIP,RAhms,DEdms,Vmag,Plx,e_Plx,Type,Period,u_Period,distance
1210,00 15 07.95,-29 00 23.1,9.09,4.9,1.41,DSCT,0.064312,,204.08163
1213,00 15 09.82,+58 25 27.5,9.91,2.73,1.49,DCEP,4.071098,,366.30035
1217,00 15 12.24,-68 50 58.3,8.71,3.54,0.92,LB,34.86,,282.48587
1222,00 15 14.33,+60 20 25.7,10.55,2.16,1.67,DCEPS(B),0.546556,,462.96295
1233,00 15 17.83,+44 12 12.2,6.76,4.05,0.76,EA,5.8762,,246.91357
1236,00 15 22.24,-32 02 43.0,7.89,2.13,2.65,M,367.0,,469.48355
1263,00 15 51.56,+60 25 53.7,10.83,1.85,1.98,EA,9.652929,,540.5405
1289,00 16 09.43,+47 53 34.3,8.83,-0.46,1.11,LB:,nan,,-2173.913
1318,00 16 34.00,-13 24 13.8,7.15,7.65,0.85,VAR:,nan,,130.71895
1325,00 16 39.42,+01 51 02.1,6.98,3.31,1.11,SRB:,nan,,302.1148
1331,00 16 42.35,-20 12 36.2,6.5,5.33,0.85,,nan,,187.61726
1338,00 16 44.87,+41 04 08.7,9.2,nan,nan,,nan,,nan
1339,00 16 45.68,+10 14 41.1,6.51,0.95,0.92,SRS,27.04,,1052.6316
1352,00 16 53.97,+49 27 42.9,6.52,1.42,0.7,VAR:,41.0606,,704.2254
1366,00 17 05.54,+38 40 54.0,4.61,12.88,1.31,,nan,,77.63975
1378,00 17 13.16,-14 06 32.9,9.51,0.44,1.47,ACV:,0.94664,,2272.7273
1387,00 17 21.46,-71 54 56.8,10.07,0.9,1.24,EW,0.59484267,,1111.1111
1401,00 17 32.09,+50 17 14.5,9.28,0.84,1.12,SR,nan,,1190.4762
1410,00 17 39.73,+12 02 32.7,8.35,6.34,1.06,ROT,1.1731,,157.7287
1415,00 17 43.07,+51 25 59.1,6.11,0.57,0.69,ELL/KE,3.523487,,1754.386
1419,00 17 47.06,-66 21 32.0,7.79,12.92,0.73,EP,11.53533,,77.39938
1429,00 17 51.23,+20 13 37.3,6.91,1.68,0.88,SRB,nan,,595.2381
1435,00 17 52.85,+07 51 57.8,7.53,4.63,0.97,EA,3.86051,,215.98271
1473,00 18 19.71,+36 47 07.2,4.51,23.11,0.68,,nan,,43.27131
1497,00 18 40.97,+12 41 41.7,8.62,2.14,1.21,SRB,27.85,,467.2897
1507,00 18 45.85,-39 40 38.3,9.26,4.77,1.17,EW,0.413613,,209.6436
1543,00 19 14.22,+59 42 17.9,7.83,5.98,1.33,DSCT:,0.03,,167.22408
1550,00 19 18.70,+59 08 20.6,7.26,3.93,0.76,EA/SD,1.8125919,,254.45293
1551,00 19 20.50,-46 29 56.6,7.45,2.99,1.06,VAR,4.997,,334.44815
1555,00 19 22.50,-53 50 38.9,7.78,0.8,0.87,SRB,nan,,1250.0
1562,00 19 25.68,-08 49 25.8,3.56,11.26,0.73,,nan,,88.809944
1570,00 19 34.25,-21 48 26.1,7.75,0.06,1.12,,nan,,16666.668
1571,00 19 34.88,-50 25 45.9,7.44,2.71,0.82,VAR,21.35839,,369.0037
1593,00 19 54.03,+44 42 34.0,7.52,3.56,1.28,SRA,375.0,,280.8989
1602,00 20 05.06,+06 17 33.4,6.81,1.65,0.88,,nan,,606.0606
1609,00 20 09.53,+03 02 00.9,7.53,2.4,0.97,SRS,19.1,,416.66666
1623,00 20 17.03,-77 13 21.5,7.87,19.35,0.69,VAR,1.39369,,51.679585
1627,00 20 20.16,-57 09 48.1,9.09,0.09,1.29,SRB,53.0,,11111.11
1629,00 20 22.25,+68 50 49.2,7.66,10.16,0.65,VAR,0.75865,,98.4252
1630,00 20 24.39,+30 56 08.2,5.89,5.6,0.73,,nan,,178.57143
1633,00 20 28.37,-61 42 04.1,8.43,4.55,0.9,CST,nan,,219.78021
1645,00 20 35.86,+08 11 24.9,5.38,8.26,0.81,,nan,,121.06537
1652,00 20 43.56,+61 52 46.5,6.8,0.49,0.71,SRB,500.0,nan,2040.8163
1655,00 20 44.52,-25 27 59.8,8.38,0.75,1.06,VAR,11.50219,,1333.3334
1657,00 20 45.54,+32 54 40.4,5.79,5.05,0.87,,nan,,198.01979
1663,00 20 49.76,-00 52 15.9,9.3,46.72,20.16,DSCT,0.066401,,21.40411
1677,00 20 59.44,+12 46 18.0,7.2,7.87,0.91,PULS,nan,,127.064804
1686,00 21 07.23,+37 58 07.3,5.16,20.42,0.73,HB,3.961,,48.971596
1694,00 21 14.71,-35 47 55.9,7.14,0.95,0.89,,19.3,,1052.6316
1698,00 21 21.63,-10 41 00.4,8.69,1.91,1.19,MISC,30.57,,523.56024
1728,00 21 46.23,-20 03 28.8,5.61,4.21,0.84,SRB,159.3,,237.5297
1735,00 21 56.69,+53 28 51.2,8.42,1.65,1.1,EA,4.7818,,606.0606
1738,00 21 59.78,+07 00 42.1,8.61,0.77,1.36,,nan,,1298.7013
1755,00 22 14.25,-05 11 30.8,7.11,6.57,0.76,,nan,,152.207
1763,00 22 19.70,+33 04 06.2,8.76,0.54,1.36,VAR,3.77786,,1851.8518
1792,00 22 46.33,-09 13 50.7,7.94,2.4,1.17,RS,34.53,,416.66666
1799,00 22 49.82,+29 27 15.5,6.95,7.45,0.89,ELL,1.432321,,134.2282
1804,00 22 51.87,-37 24 12.2,7.03,2.26,0.77,,nan,,442.47787
1805,00 22 53.34,+62 14 29.0,8.17,2.24,1.25,ELL,1.41061,,446.42856
1808,00 22 56.95,-20 39 23.3,10.38,6.07,1.75,EB,0.767323,,164.74464
1809,00 22 57.36,+38 45 15.4,6.69,3.88,0.82,,nan,,257.73196
1821,00 23 04.35,-15 56 33.4,6.43,3.23,0.86,,nan,,309.59753
1830,00 23 12.59,-31 02 08.8,6.55,5.13,0.83,ACV,nan,,194.93176
1834,00 23 14.25,+55 47 33.3,8.85,0.59,1.07,M,440.0,,1694.9153
1843,00 23 18.63,-01 33 34.3,9.99,1.6,1.47,SRB:,19.823331,,625.0
1849,00 23 22.13,-29 50 49.8,6.81,4.23,0.91,,nan,,236.40662
1852,00 23 24.14,+55 48 07.8,8.12,0.66,0.91,CST,nan,,1515.1515
1878,00 23 43.09,+29 24 03.8,9.71,-0.04,1.5,RRAB/BL:,0.442262,,-25000.0
1880,00 23 43.69,-49 21 27.9,7.7,1.75,0.93,LB:,nan,,571.4286
1901,00 24 01.96,+38 34 37.6,10.71,-0.06,6.49,M,409.2,,-16666.668
1910,00 24 08.87,-62 11 03.9,11.33,21.59,2.22,TTS/ROT,1.7522,,46.317738
1921,00 24 15.64,+52 01 11.7,5.58,2.38,0.69,SPB,1.0648,,420.16806
1938,00 24 27.95,+05 42 43.1,9.77,-1.17,1.53,ROT,35.86,,-854.70087
1941,00 24 32.90,-04 38 52.0,7.55,1.48,0.99,SRB,nan,,675.67566
1945,00 24 34.87,+54 17 38.3,9.26,0.56,1.34,LB,nan,,1785.7142
1982,00 25 06.39,+53 02 48.4,5.72,6.17,0.71,,nan,,162.07455
1993,00 25 14.56,-61 30 47.8,11.26,26.69,24.06,TTS/ROT,4.35,,37.467216
2005,00 25 24.13,-46 55 27.2,10.42,1.86,2.08,EW,0.436968,,537.6344
2006,00 25 24.22,+01 56 23.0,5.77,5.5,1.03,VAR:,nan,,181.81818
2032,00 25 45.59,-27 42 36.4,6.88,6.89,0.91,LB:,nan,,145.13788
2041,00 25 54.28,-31 11 54.8,9.94,2.2,1.74,,nan,,454.54544
2054,00 26 02.68,+35 49 09.5,7.53,5.46,0.82,EA,1.538824,nan,183.15018
2080,00 26 16.49,+03 49 32.7,6.9,2.3,0.88,SPB,1.66523,,434.78262
2085,00 26 19.45,+51 16 49.3,7.8,0.91,0.91,DCEP(B),2.139298,,1098.9011
2086,00 26 21.74,-18 41 37.0,6.24,4.3,0.91,SRB,nan,,232.55814
2100,00 26 37.37,-00 02 58.3,6.16,6.71,1.23,,nan,,149.0313
2104,00 26 40.82,+34 11 01.9,7.53,1.58,0.89,,18.25,,632.9114
2118,00 26 52.39,+09 19 10.8,7.96,8.76,1.15,,nan,,114.15525
2123,00 26 53.29,+10 08 55.7,8.31,2.39,1.19,SRD,nan,,418.41003
2125,00 26 54.84,-39 52 54.8,8.93,4.76,1.15,EA/KE:,0.75533809,,210.08403
2164,00 27 17.94,-33 52 55.0,8.01,1.4,0.93,LB:,nan,,714.2857
2180,00 27 31.69,+35 35 14.6,7.67,0.08,1.09,SRB,169.0,,12500.0
2203,00 27 51.14,-25 16 54.7,8.64,-0.2,1.34,VAR,0.26606,,-5000.0
2210,00 27 55.71,-33 00 25.4,4.86,5.95,0.72,SRS,24.22,,168.06723
2215,00 28 00.52,-11 39 31.5,7.35,8.87,1.48,SRB,90.0,,112.73957
2216,00 28 01.36,+27 05 50.7,9.33,0.95,1.74,LB,50.375296,,1052.6316
2225,00 28 13.59,+44 23 40.2,5.18,12.32,0.75,VAR,2.19974,,81.16883
2232,00 28 17.00,+63 44 05.8,9.36,9.04,3.06,TTS/ROT,0.471,nan,110.61947
2243,00 28 28.59,+32 26 16.1,6.87,6.59,0.8,ACV,546.87,,151.74507
2254,00 28 41.97,-37 00 38.5,9.98,7.77,1.45,VAR,0.8496,,128.70013
2263,00 28 50.74,-24 38 12.1,7.14,3.74,1.1,,0.2131,,267.37967
2271,00 28 57.00,+48 24 49.4,7.04,1.5,0.95,LB:,nan,,666.6667
2274,00 29 04.05,-17 13 00.8,9.84,1.04,3.63,EW,0.621618,,961.5385
2280,00 29 08.60,+11 19 12.5,8.09,8.48,1.08,ACV,0.5668,,117.92454
2283,00 29 10.43,-11 35 53.2,7.35,2.58,0.97,VAR,1.70823,,387.59692
2285,00 29 11.14,+44 59 42.2,9.01,2.18,1.35,LB:,nan,,458.71558
2286,00 29 12.12,-37 54 30.5,9.64,-2.13,3.75,M,205.0,,-469.48355
2299,00 29 20.13,+79 52 42.0,10.48,2.07,1.2,DSCTC,0.122888,,483.0918
2340,00 29 54.17,+08 48 22.5,7.93,2.74,1.11,SRD,nan,,364.9635
2347,00 29 58.59,+60 12 43.1,8.86,2.32,1.09,DCEP,8.000669,,431.0345
