wav,rprs
 0.30677,0.1580397
 0.30710,0.1580371
 0.30743,0.1580345
 0.30776,0.1580320
 0.30809,0.1580294
 0.30842,0.1580268
 0.30875,0.1580243
 0.30908,0.1580217
 0.30941,0.1580191
 0.30974,0.1580166
 0.31007,0.1580141
 0.31040,0.1580115
 0.31073,0.1580090
 0.31106,0.1580064
 0.31139,0.1580039
 0.31172,0.1580013
 0.31205,0.1579988
 0.31238,0.1579963
 0.31271,0.1579937
 0.31304,0.1579912
 0.31337,0.1579887
 0.31370,0.1579862
 0.31403,0.1579836
 0.31436,0.1579811
 0.31469,0.1579786
 0.31502,0.1579761
 0.31535,0.1579736
 0.31568,0.1579711
 0.31601,0.1579686
 0.31634,0.1579661
 0.31667,0.1579636
 0.31700,0.1579611
 0.31733,0.1579586
 0.31766,0.1579561
 0.31799,0.1579536
 0.31832,0.1579511
 0.31865,0.1579487
 0.31898,0.1579462
 0.31931,0.1579437
 0.31964,0.1579412
 0.31997,0.1579387
 0.32030,0.1579363
 0.32063,0.1579338
 0.32096,0.1579313
 0.32129,0.1579289
 0.32162,0.1579264
 0.32195,0.1579240
 0.32228,0.1579215
 0.32261,0.1579191
 0.32294,0.1579166
 0.32327,0.1579142
 0.32360,0.1579117
 0.32393,0.1579093
 0.32426,0.1579068
 0.32459,0.1579044
 0.32492,0.1579020
 0.32525,0.1578995
 0.32558,0.1578971
 0.32591,0.1578947
 0.32624,0.1578922
 0.32657,0.1578898
 0.32690,0.1578874
 0.32723,0.1578850
 0.32756,0.1578826
 0.32789,0.1578802
 0.32822,0.1578778
 0.32855,0.1578753
 0.32888,0.1578729
 0.32921,0.1578705
 0.32954,0.1578681
 0.32987,0.1578657
 0.33020,0.1578633
 0.33053,0.1578609
 0.33086,0.1578586
 0.33119,0.1578562
 0.33152,0.1578538
 0.33185,0.1578514
 0.33218,0.1578490
 0.33251,0.1578466
 0.33284,0.1578443
 0.33317,0.1578419
 0.33350,0.1578395
 0.33383,0.1578371
 0.33416,0.1578348
 0.33449,0.1578324
 0.33482,0.1578301
 0.33515,0.1578277
 0.33548,0.1578253
 0.33581,0.1578230
 0.33614,0.1578206
 0.33647,0.1578183
 0.33680,0.1578159
 0.33713,0.1578136
 0.33746,0.1578112
 0.33779,0.1578089
 0.33812,0.1578066
 0.33845,0.1578042
 0.33878,0.1578019
 0.33911,0.1577995
 0.33944,0.1577972
 0.33977,0.1577949
 0.34010,0.1577926
 0.34043,0.1577902
 0.34076,0.1577879
 0.34109,0.1577856
 0.34142,0.1577833
 0.34175,0.1577810
 0.34208,0.1577787
 0.34241,0.1577763
 0.34274,0.1577740
 0.34307,0.1577717
 0.34340,0.1577694
 0.34373,0.1577671
 0.34406,0.1577648
 0.34439,0.1577625
 0.34472,0.1577602
 0.34505,0.1577579
 0.34538,0.1577557
 0.34571,0.1577534
 0.34604,0.1577511
 0.34637,0.1577488
 0.34670,0.1577465
 0.34703,0.1577442
 0.34736,0.1577420
 0.34769,0.1577397
 0.34802,0.1577374
 0.34835,0.1577351
 0.34868,0.1577329
 0.34901,0.1577306
 0.34934,0.1577283
 0.34967,0.1577261
 0.35000,0.1577243
 0.35031,0.1577224
 0.35062,0.1577203
 0.35094,0.1577181
 0.35125,0.1577160
 0.35156,0.1577138
 0.35187,0.1577116
 0.35219,0.1577094
 0.35250,0.1577072
 0.35282,0.1577050
 0.35313,0.1577028
 0.35344,0.1577007
 0.35376,0.1576987
 0.35407,0.1576967
 0.35439,0.1576947
 0.35471,0.1576926
 0.35502,0.1576906
 0.35534,0.1576886
 0.35565,0.1576866
 0.35597,0.1576845
 0.35629,0.1576824
 0.35660,0.1576804
 0.35692,0.1576783
 0.35724,0.1576762
 0.35756,0.1576741
 0.35788,0.1576721
 0.35820,0.1576700
 0.35851,0.1576678
 0.35883,0.1576657
 0.35915,0.1576636
 0.35947,0.1576615
 0.35979,0.1576593
 0.36011,0.1576572
 0.36044,0.1576550
 0.36076,0.1576529
 0.36108,0.1576507
 0.36140,0.1576485
 0.36172,0.1576464
 0.36204,0.1576442
 0.36237,0.1576420
 0.36269,0.1576397
 0.36301,0.1576376
 0.36333,0.1576357
 0.36366,0.1576336
 0.36398,0.1576316
