wav,rprs
 0.36517,0.1184604
 0.36593,0.1184568
 0.36669,0.1184531
 0.36746,0.1184495
 0.36822,0.1184461
 0.36898,0.1184426
 0.36975,0.1184391
 0.37052,0.1184356
 0.37129,0.1184321
 0.37206,0.1184285
 0.37284,0.1184248
 0.37361,0.1184212
 0.37439,0.1184175
 0.37517,0.1184139
 0.37595,0.1184105
 0.37673,0.1184070
 0.37751,0.1184035
 0.37830,0.1184000
 0.37908,0.1183964
 0.37987,0.1183929
 0.38066,0.1183892
 0.38145,0.1183856
 0.38225,0.1183819
 0.38304,0.1183783
 0.38384,0.1183748
 0.38464,0.1183714
 0.38544,0.1183679
 0.38624,0.1183644
 0.38704,0.1183608
 0.38785,0.1183573
 0.38865,0.1183537
 0.38946,0.1183500
 0.39027,0.1183464
 0.39108,0.1183427
 0.39190,0.1183392
 0.39271,0.1183358
 0.39353,0.1183323
 0.39435,0.1183288
 0.39517,0.1183253
 0.39599,0.1183217
 0.39681,0.1183181
 0.39764,0.1183145
 0.39846,0.1183109
 0.39929,0.1183072
 0.40012,0.1183038
 0.40095,0.1183004
 0.40179,0.1182972
 0.40262,0.1182944
 0.40346,0.1182944
 0.40430,0.1185740
 0.40514,0.1183291
 0.40598,0.1182813
 0.40683,0.1182761
 0.40767,0.1182720
 0.40852,0.1182682
 0.40937,0.1182647
 0.41022,0.1182612
 0.41107,0.1182576
 0.41193,0.1182541
 0.41279,0.1182505
 0.41364,0.1182469
 0.41450,0.1182433
 0.41537,0.1182396
 0.41623,0.1182360
 0.41710,0.1182323
 0.41796,0.1182289
 0.41883,0.1182254
 0.41970,0.1182219
 0.42058,0.1182184
 0.42145,0.1182149
 0.42233,0.1182113
 0.42320,0.1182077
 0.42408,0.1182040
 0.42497,0.1182004
 0.42585,0.1181967
 0.42674,0.1181933
 0.42762,0.1181898
 0.42851,0.1181863
 0.42940,0.1181828
 0.43030,0.1181793
 0.43119,0.1181757
 0.43209,0.1181721
 0.43299,0.1181684
 0.43389,0.1181648
 0.43479,0.1181611
 0.43569,0.1181576
 0.43660,0.1181542
 0.43751,0.1181507
 0.43842,0.1181472
 0.43933,0.1181436
 0.44024,0.1181401
 0.44116,0.1181365
 0.44207,0.1181329
 0.44299,0.1181292
 0.44392,0.1181255
 0.44484,0.1181220
 0.44576,0.1181185
 0.44669,0.1181151
 0.44762,0.1181116
 0.44855,0.1181080
 0.44948,0.1181045
 0.45042,0.1181009
 0.45135,0.1180973
 0.45229,0.1180936
 0.45323,0.1180900
 0.45418,0.1180864
 0.45512,0.1180829
 0.45607,0.1180795
 0.45701,0.1180760
 0.45796,0.1180725
 0.45892,0.1180689
 0.45987,0.1180653
 0.46083,0.1180617
 0.46179,0.1180581
 0.46275,0.1180544
 0.46371,0.1180508
 0.46467,0.1180473
 0.46564,0.1180439
 0.46661,0.1180404
 0.46758,0.1180369
 0.46855,0.1180333
 0.46952,0.1180298
 0.47050,0.1180262
 0.47148,0.1180226
 0.47246,0.1180189
 0.47344,0.1180155
 0.47443,0.1180118
 0.47541,0.1180083
 0.47640,0.1180049
 0.47739,0.1180014
 0.47838,0.1179978
 0.47938,0.1179943
 0.48038,0.1179907
 0.48138,0.1179871
 0.48238,0.1179834
 0.48338,0.1179799
 0.48438,0.1179764
 0.48539,0.1179729
 0.48640,0.1179695
 0.48741,0.1179660
 0.48843,0.1179625
 0.48944,0.1179589
 0.49046,0.1179553
 0.49148,0.1179518
 0.49250,0.1179482
 0.49353,0.1179445
 0.49455,0.1179410
 0.49558,0.1179377
 0.49661,0.1179342
 0.49764,0.1179308
 0.49868,0.1179274
 0.49972,0.1179239
 0.50075,0.1179204
 0.50180,0.1179171
 0.50284,0.1179136
 0.50388,0.1179098
 0.50493,0.1179062
 0.50598,0.1179029
 0.50703,0.1178999
 0.50809,0.1178963
 0.50915,0.1178928
 0.51020,0.1178895
 0.51127,0.1178861
 0.51233,0.1178827
 0.51339,0.1178794
 0.51446,0.1178759
 0.51553,0.1178725
 0.51660,0.1178692
 0.51768,0.1178660
 0.51875,0.1178629
 0.51983,0.1178597
 0.52091,0.1178568
 0.52200,0.1178536
 0.52308,0.1178505
 0.52417,0.1178476
 0.52526,0.1178446
 0.52635,0.1178415
 0.52745,0.1178387
 0.52854,0.1178358
 0.52964,0.1178330
 0.53074,0.1178305
 0.53185,0.1178280
 0.53295,0.1178260
 0.53406,0.1178235
 0.53517,0.1178213
 0.53629,0.1178193
 0.53740,0.1178174
 0.53852,0.1178155
 0.53964,0.1178140
 0.54076,0.1178126
 0.54188,0.1178119
 0.54301,0.1178112
 0.54414,0.1178098
 0.54527,0.1178093
 0.54641,0.1178103
 0.54754,0.1178094
 0.54868,0.1178101
 0.54982,0.1178107
 0.55096,0.1178119
 0.55211,0.1178137
 0.55326,0.1178160
 0.55441,0.1178186
 0.55556,0.1178219
 0.55672,0.1178256
 0.55787,0.1178301
 0.55903,0.1178352
 0.56020,0.1178415
 0.56136,0.1178484
 0.56253,0.1178561
 0.56370,0.1178644
 0.56487,0.1178740
 0.56605,0.1178851
 0.56722,0.1178971
 0.56840,0.1179152
 0.56958,0.1179259
 0.57077,0.1179415
 0.57196,0.1179598
 0.57315,0.1179794
 0.57434,0.1180013
 0.57553,0.1180259
 0.57673,0.1180531
 0.57793,0.1180843
 0.57913,0.1181192
 0.58033,0.1181588
 0.58154,0.1182050
 0.58275,0.1182603
 0.58396,0.1183265
 0.58518,0.1184121
 0.58639,0.1185305
 0.58761,0.1187517
 0.58883,0.1195773
 0.59006,0.1192077
 0.59129,0.1186396
 0.59251,0.1184770
 0.59375,0.1183744
 0.59498,0.1182971
 0.59622,0.1182348
 0.59746,0.1181816
 0.59870,0.1181372
 0.59995,0.1180976
 0.60119,0.1180619
 0.60244,0.1180307
 0.60370,0.1180009
 0.60495,0.1179740
 0.60621,0.1179502
 0.60747,0.1179269
 0.60873,0.1179044
 0.61000,0.1178845
 0.61127,0.1178650
 0.61254,0.1178477
 0.61381,0.1178304
 0.61509,0.1178145
 0.61637,0.1177989
 0.61765,0.1177846
 0.61893,0.1177703
 0.62022,0.1177566
 0.62151,0.1177441
 0.62280,0.1177315
 0.62410,0.1177197
 0.62540,0.1177092
 0.62670,0.1176978
 0.62800,0.1176873
 0.62931,0.1176769
 0.63061,0.1176674
 0.63193,0.1176575
 0.63324,0.1176485
 0.63456,0.1176398
 0.63588,0.1176310
 0.63720,0.1176223
 0.63852,0.1176139
 0.63985,0.1176071
 0.64118,0.1175984
 0.64251,0.1175925
 0.64385,0.1175879
