wav,rprs
 0.58883,0.1418278
 0.59006,0.1414112
 0.59129,0.1407580
 0.59251,0.1405664
 0.59375,0.1404531
 0.59498,0.1403677
 0.59622,0.1403000
 0.59746,0.1402427
 0.59870,0.1401940
 0.59995,0.1401516
 0.60119,0.1401141
 0.60244,0.1400803
 0.60370,0.1400485
 0.60495,0.1400195
 0.60621,0.1399948
 0.60747,0.1399704
 0.60873,0.1399465
 0.61000,0.1399254
 0.61127,0.1399051
 0.61254,0.1398863
 0.61381,0.1398684
 0.61509,0.1398505
 0.61637,0.1398360
 0.61765,0.1398196
 0.61893,0.1398049
 0.62022,0.1397902
 0.62151,0.1397765
 0.62280,0.1397635
 0.62410,0.1397506
 0.62540,0.1397394
 0.62670,0.1397271
 0.62800,0.1397157
 0.62931,0.1397044
 0.63061,0.1396947
 0.63193,0.1396838
 0.63324,0.1396741
 0.63456,0.1396642
 0.63588,0.1396545
 0.63720,0.1396456
 0.63852,0.1396369
 0.63985,0.1396290
 0.64118,0.1396187
 0.64251,0.1396125
 0.64385,0.1396086
 0.64519,0.1396077
 0.64653,0.1395911
 0.64788,0.1395835
 0.64922,0.1395750
 0.65057,0.1395676
 0.65193,0.1395693
 0.65328,0.1395531
 0.65464,0.1395454
 0.65600,0.1395481
 0.65737,0.1395347
 0.65873,0.1395367
 0.66010,0.1395256
 0.66147,0.1395154
 0.66285,0.1395135
 0.66423,0.1395048
 0.66561,0.1395034
 0.66699,0.1394933
 0.66838,0.1394900
 0.66977,0.1394829
 0.67116,0.1394773
 0.67256,0.1394753
 0.67396,0.1394687
 0.67536,0.1394632
 0.67676,0.1394579
 0.67817,0.1394532
 0.67958,0.1394517
 0.68099,0.1394445
 0.68241,0.1394424
 0.68383,0.1394365
 0.68525,0.1394317
 0.68668,0.1394322
 0.68810,0.1394297
 0.68953,0.1394297
 0.69097,0.1394325
 0.69241,0.1395058
 0.69385,0.1394841
 0.69529,0.1394231
 0.69673,0.1394504
 0.69818,0.1394256
 0.69963,0.1394158
 0.70109,0.1394313
 0.70255,0.1394472
 0.70401,0.1394195
 0.70547,0.1394556
 0.70694,0.1394172
 0.70841,0.1394330
 0.70988,0.1394197
 0.71136,0.1394578
 0.71284,0.1394413
 0.71432,0.1394527
 0.71581,0.1394684
 0.71729,0.1395774
 0.71879,0.1394809
 0.72028,0.1394971
 0.72178,0.1395379
 0.72328,0.1395577
 0.72478,0.1395018
 0.72629,0.1395213
 0.72780,0.1395330
 0.72931,0.1394938
 0.73083,0.1395441
 0.73235,0.1395321
 0.73387,0.1395486
 0.73540,0.1395410
 0.73693,0.1395684
 0.73846,0.1395743
 0.74000,0.1396297
 0.74153,0.1395960
 0.74308,0.1396061
 0.74462,0.1396515
 0.74617,0.1396483
 0.74772,0.1397141
 0.74928,0.1397017
 0.75083,0.1397431
 0.75240,0.1397638
 0.75396,0.1398049
 0.75553,0.1398452
 0.75710,0.1398879
 0.75867,0.1399475
 0.76025,0.1400212
 0.76183,0.1401126
 0.76342,0.1402435
 0.76500,0.1405512
 0.76659,0.1412138
 0.76819,0.1405949
 0.76979,0.1410663
 0.77139,0.1404342
 0.77299,0.1401666
 0.77460,0.1400482
 0.77621,0.1399657
 0.77782,0.1399008
 0.77944,0.1398468
 0.78106,0.1398022
 0.78269,0.1397608
 0.78431,0.1397228
 0.78594,0.1396925
 0.78758,0.1396622
 0.78922,0.1396397
 0.79086,0.1396163
 0.79250,0.1395879
 0.79415,0.1395662
 0.79580,0.1395411
 0.79746,0.1395254
 0.79911,0.1395069
 0.80078,0.1394887
 0.80244,0.1394834
 0.80411,0.1394611
 0.80578,0.1394633
 0.80746,0.1394532
 0.80914,0.1394962
 0.81082,0.1394612
 0.81251,0.1395833
 0.81419,0.1395258
 0.81589,0.1394075
 0.81758,0.1396304
 0.81928,0.1395665
 0.82099,0.1393875
 0.82270,0.1393705
 0.82441,0.1393865
 0.82612,0.1395839
 0.82784,0.1393264
 0.82956,0.1394319
 0.83128,0.1393366
 0.83301,0.1393199
 0.83475,0.1392836
 0.83648,0.1393002
 0.83822,0.1393031
 0.83996,0.1392986
 0.84171,0.1393679
 0.84346,0.1392903
 0.84521,0.1394439
 0.84697,0.1392905
 0.84873,0.1392426
 0.85050,0.1392992
 0.85227,0.1392431
 0.85404,0.1391993
 0.85581,0.1393132
 0.85759,0.1392143
 0.85938,0.1393301
 0.86116,0.1392425
 0.86296,0.1392116
 0.86475,0.1391913
 0.86655,0.1392109
 0.86835,0.1391567
 0.87016,0.1391743
 0.87197,0.1392052
 0.87378,0.1391435
 0.87560,0.1391346
 0.87742,0.1391027
 0.87924,0.1391036
 0.88107,0.1390925
 0.88290,0.1391215
