,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
1027,Kepler-167,,,TIC 137686948,e,Kepler,2,4,Transit,2016,1071.23205,1.883,10.16,321.00669,1.68,0.29,0.08,134.4,89.972,0.271,23.7,K4,4884.0,0.75,0.78,0.02,-0.539,4.58,7.1,2.6,,341.908,292.6585253,38.3455558
1028,HD 92788,HD 92788,HIP 52409,TIC 169248301,b,Multiple Observatories,1,2,Radial Velocity,2000,325.803,0.97,13.0,1195.0408,2.99,0.35,,,,,108.24,G6 V,5744.0,1.14,1.15,0.27,0.02,4.39,2.55,0.95143,31.0,34.6538,160.7021351,-2.1847173
1029,HAT-P-45,,,TIC 167227214,b,HATNet,1,1,Transit,2014,3.128992,0.0452,15.984,283.492,0.38,0.049,,1652.0,87.8,0.281,106.6,,6330.0,1.32,1.26,0.07,0.4,4.3,2.0,0.45731,,298.64,274.3732697,-3.3810594
1030,bet Cnc,HD 69267,HIP 40526,TIC 458582777,b,Bohyunsan Optical Astronomical Observatory,2,1,Radial Velocity,2014,605.2,1.7,12.6,2479.0,6.81,0.08,,,,,133.0,K4 III,4092.1,47.2,1.7,-0.29,2.9,1.4,1.85,,,89.0472,124.1286379,9.1853306
1031,mu Leo,HD 85503,HIP 48455,TIC 82204610,b,Bohyunsan Optical Astronomical Observatory,1,1,Radial Velocity,2014,357.8,1.1,13.3,762.8,1.78,0.09,,,,,52.0,K2 III,4538.2,11.4,1.5,0.36,1.797,2.4,3.35,,,32.6081,148.1898673,26.0067142
1032,HD 214823,HD 214823,HIP 111928,TIC 115779095,b,Haute-Provence Observatory,2,1,Radial Velocity,2016,1854.4,3.23,12.1,6451.949,20.0,0.1641,,,,,285.47,G0,5933.0,2.04,1.31,0.14,0.67,4.05,4.34,0.15941,17.5,101.368,340.0832062,31.7875183
1033,Kepler-1647,,,TIC 170344769,b,Kepler,2,1,Transit,2016,1107.5923,2.7205,11.874,483.0,1.59,0.0581,,,90.097,,,,6210.0,1.79,1.22,-0.14,0.644,4.02,4.4,0.30649,11.23,1212.45,298.150057,40.6561751
1034,HD 111591,HD 111591,HIP 62653,TIC 954124944,b,Multiple Observatories,1,1,Radial Velocity,2017,1056.4,2.5,12.9,1398.452,3.58,0.26,,,,,59.0,K0 III,4884.0,8.03,1.94,0.07,1.581,3.1,1.41,,,114.166,192.5725483,22.8631285
1035,Kepler-80,,,TIC 184296619,g,Kepler,1,6,Transit,2017,14.64558,,1.13,1.51,5.75,,,418.0,89.35,0.52,,K5,4540.0,0.68,0.83,0.04,-0.767,4.64,2.0,2.33,,369.451,296.1125759,39.9787451
1036,HD 150706,HD 150706,HIP 80902,TIC 159511543,b,Haute-Provence Observatory,1,1,Radial Velocity,2012,5894.0,6.7,13.2,861.28,2.06,0.38,,,,,31.1,G0 V,5961.0,0.96,1.17,-0.01,0.032,4.5,3.0,1.65625,,28.2697,247.8255687,79.7894032
1037,HD 112640,HD 112640,HIP 63203,TIC 459217467,b,Bohyunsan Optical Astronomical Observatory,1,1,Radial Velocity,2020,613.2,1.7,12.9,1589.15,4.07,0.24,,,,,83.0,K0 III,4155.0,39.0,1.8,-0.09,2.453,1.7,1.6,,545.0,323.335,194.2415171,67.2429122
1038,Kepler-121,,,TIC 120765800,c,Kepler,1,2,Transit,2014,41.008011,0.216,2.27,5.77,2.71,0.0,7.3,425.0,88.72,0.49,,,5311.0,0.7,0.86,-0.08,-0.474,4.65,0.5,0.7794,,510.523,286.1621273,39.6780204
1039,Kepler-130,,,TIC 121603794,b,Kepler,2,3,Transit,2014,8.457458,0.079,1.02,1.04,5.39,0.15,221.73,982.0,88.36,0.12,,,5884.0,1.13,0.96,-0.199,0.198,4.3,5.89,0.93792,,316.663,288.4505905,40.2452006
1040,Kepler-1048,,,TIC 123408693,b,Kepler,1,1,Transit,2016,6.92101021,0.059,1.61,3.22,4.24,0.0,96.98,619.0,84.6,0.846,,,4651.0,0.7,0.75,0.01,-0.409,4.62,3.98,0.81232,,556.006,281.8983042,42.1657112
1041,Kepler-102,,,TIC 123357864,d,Kepler,1,5,Transit,2014,10.3117,0.0862,1.18,3.8,13.27,0.0,37.04,634.0,87.5,0.22,1.37,,4903.0,0.74,0.8,0.08,-0.584,4.61,1.41,2.76,,107.796,281.4824731,47.2078263
1042,Kepler-821,,,TIC 120573482,b,Kepler,1,1,Transit,2016,1.92279873,0.029,1.31,2.27,5.55,0.0,496.82,1215.0,89.74,0.1332,,,5191.0,0.8,0.84,-0.03,-0.364,4.56,4.79,2.35671,,614.571,285.6173937,39.3794684
1043,Kepler-820,,,TIC 122685803,b,Kepler,1,1,Transit,2016,127.8338098,0.5829,6.09,30.8,0.749,0.0,16.23,554.0,89.72,0.8869,,,6260.0,1.36,1.23,0.09,0.689,4.25,2.63,0.71826,,1387.2,291.0201523,39.2206091
1044,Kepler-162,,,TIC 273036401,b,Kepler,1,2,Transit,2014,6.919798,0.069,1.26,2.13,5.85,0.0,305.95,961.0,84.93,0.27,,,5816.0,0.96,0.95,0.03,0.155,4.44,3.02,1.64288,,855.641,297.2789115,43.7239693
1045,Kepler-183,,,TIC 138214374,b,Kepler,1,2,Transit,2014,5.687945,0.064,2.06,4.9,3.08,0.0,281.85,1088.0,87.45,0.25,,,5888.0,0.96,0.94,0.101,0.026,4.5,4.27,4.45432,,1050.64,293.5308112,39.3159329
1046,Kepler-1009,,,TIC 164411478,b,Kepler,1,1,Transit,2016,11.35011917,0.0796,2.17,5.35,2.88,0.0,11.56,403.0,89.95,0.035,,,4027.0,0.57,0.59,-0.12,-0.987,4.7,3.16,2.82945,,355.019,282.8598614,42.6658336
1047,Kepler-819,,,TIC 139106013,b,Kepler,1,1,Transit,2016,33.1995648,0.1894,2.76,8.05,2.1,0.0,9.91,485.0,89.98,0.876,,,5279.0,0.81,0.86,-0.06,-0.398,4.55,4.47,2.41873,,664.306,295.3708312,39.1772925
1048,Kepler-811,,,TIC 351908051,b,Kepler,1,1,Transit,2016,23.58447697,0.1583,2.7,7.75,2.16,0.0,78.59,730.0,88.28,0.859,,,5747.0,1.24,1.01,0.05,0.323,4.25,7.94,0.62326,,985.041,285.4241593,47.8345586
1049,Kepler-286,,,TIC 290035455,b,Kepler,1,4,Transit,2014,1.796302,0.027,1.24,2.07,5.97,0.0,925.92,1367.0,89.88,0.06,,,5580.0,0.86,0.96,-0.12,-0.116,4.5,2.75,1.86513,,1226.85,290.6761874,48.2942362
1050,Kepler-214,,,TIC 164785720,b,Kepler,1,2,Transit,2014,15.660544,0.13,2.61,7.32,2.26,0.0,196.4,758.0,89.17,0.03,,,6169.0,1.35,1.11,-0.091,0.511,4.25,1.58,0.40253,,1208.44,284.7548499,44.95605
1051,Kepler-232,,,TIC 27686898,c,Kepler,1,2,Transit,2014,11.379349,0.101,3.83,14.0,1.37,0.0,116.52,806.0,86.8,0.92,,,5847.0,0.97,0.97,0.03,0.052,4.5,1.4,1.02292,,1349.13,295.8161668,51.1217249
1052,Kepler-961,,,TIC 351803452,b,Kepler,1,1,Transit,2016,16.87727414,0.1245,2.55,7.04,2.33,0.0,40.4,642.0,89.02,0.0703,,,5582.0,0.9,0.96,0.05,-0.194,4.51,2.82,2.82159,,574.314,282.0354942,43.6312491
1053,Kepler-985,,,TIC 159305424,b,Kepler,1,1,Transit,2016,116.331901,0.4451,2.98,9.17,1.9,0.0,2.59,323.0,89.99,0.032,,,5434.0,0.85,0.91,0.0,-0.283,4.54,3.39,3.13923,,679.361,290.144339,44.0498808
1054,WASP-176,,,TIC 375942197,b,SuperWASP-North,1,1,Transit,2020,3.899052,0.0535,16.87,271.74465,0.31,0.0,,1721.0,86.7,0.347,,F9,5941.0,1.93,1.34,0.164,0.617,4.0,4.81,0.371,,568.42,313.6872928,9.1790688
1055,Kepler-804,,,TIC 275573295,b,Kepler,1,2,Transit,2016,14.37457351,0.1137,1.94,4.42,3.33,0.0,83.43,779.0,89.91,0.035,,,5817.0,1.05,1.01,0.0,0.05,4.4,5.25,1.15872,,649.65,293.3722109,44.7851812
1056,Kepler-330,,,TIC 158727691,c,Kepler,1,2,Transit,2014,15.955387,0.116,1.95,4.46,3.31,0.0,27.68,573.0,89.4,0.22,,,5117.0,0.72,0.79,0.16,-0.442,4.64,0.7,1.97492,,717.527,288.4474035,44.8017616
1057,GJ 338 B,HD 79211,HIP 120005,TIC 251078597,b,Calar Alto Observatory,2,1,Radial Velocity,2020,24.45,0.141,3.19,10.27,1.74,0.11,,391.0,,,3.07,M0.0 V,4005.0,0.58,0.64,-0.03,-1.101,4.68,4.0,4.04454,16.61,6.33256,138.5916722,52.6835211
1058,Kepler-732,,,TIC 164555597,c,Kepler,1,2,Transit,2016,0.89304124,0.0143,1.27,2.15,5.77,0.0,199.85,893.0,89.92,0.0468,,,3631.0,0.46,0.49,-0.01,-1.375,4.79,4.47,5.14049,,174.826,283.7317274,45.9585288
1059,Kepler-1019,,,TIC 164556761,b,Kepler,1,1,Transit,2016,1.41122985,0.0221,1.46,2.73,4.82,0.0,330.25,1164.0,78.73,0.812,,,4433.0,0.67,0.7,0.01,-0.806,4.64,3.55,2.24787,,194.182,283.7175909,47.2043818
1060,HD 89744,HD 89744,HIP 50786,TIC 8154501,b,Fred Lawrence Whipple Observatory,2,1,Radial Velocity,1999,256.78,0.917,12.6,2653.8805,7.29,0.677,,,,,269.66,F7 V,6291.0,2.13,1.86,0.224,0.796,4.07,1.88,0.17589,,38.6364,155.5433193,41.2289354
1061,Kepler-842,,,TIC 424815179,b,Kepler,1,1,Transit,2016,1.21956827,0.0204,1.6,3.19,4.28,0.0,588.95,1252.0,89.37,0.1661,,,4848.0,0.73,0.78,-0.02,-0.612,4.6,4.37,2.76789,,532.726,292.3285976,49.6535171
1062,Kepler-56,,,TIC 138430034,c,Kepler,1,3,Transit,2012,21.40239,0.1652,9.8,181.0,1.06,0.0,317.21,1087.0,80.4,0.943,,,4840.0,4.23,1.32,0.2,0.905,3.31,3.5,0.0246,,912.994,293.7583002,41.871807
1063,Kepler-279,,,TIC 158428960,c,Kepler,1,3,Transit,2013,35.736,0.2236,4.3,49.4,0.3,0.0,60.16,774.0,87.09,0.9169,,,6689.45,1.07,1.1,-0.114,0.519,4.42,0.22,0.0435,,1037.4,287.391295,42.194822
1064,Kepler-791,,,TIC 138303317,b,Kepler,1,1,Transit,2016,14.5539759,0.1256,3.05,9.53,1.85,0.0,140.06,939.0,80.57,0.863,,,6383.0,1.47,1.3,0.06,0.403,4.21,2.24,0.01771,,1266.34,293.5958044,39.0294267
1065,Kepler-127,,,TIC 164881786,d,Kepler,1,3,Transit,2014,48.630408,0.28,2.64,7.46,2.23,0.03,31.52,590.0,89.96,0.62,,,6106.0,1.36,1.27,0.214,0.407,4.26,2.63,0.52724,,352.794,285.1899439,46.0280596
1066,Kepler-786,,,TIC 138366498,b,Kepler,1,1,Transit,2016,53.5293487,0.2548,2.43,6.48,2.48,0.0,3.66,348.0,89.72,0.0963,,,4838.0,0.74,0.81,0.09,-0.583,4.61,2.51,2.25989,,485.318,293.7439223,38.9392217
1067,Kepler-465,,,TIC 164725204,b,Kepler,1,1,Transit,2016,9.94067247,0.0953,2.95,9.01,1.93,0.0,227.82,996.0,89.94,0.754,,,6310.0,1.29,1.23,0.09,0.338,4.31,2.19,1.4944,,553.077,284.5557853,46.0638865
1068,Kepler-960,,,TIC 123357476,b,Kepler,1,1,Transit,2016,3.12686223,0.0414,2.29,5.86,2.68,0.0,129.22,1391.0,87.93,0.7251,,,4755.0,0.72,0.77,0.02,-0.629,4.61,3.63,8.96358,,284.916,281.4572217,46.7465538
1069,Kepler-409,,,TIC 270619260,b,Kepler,1,1,Transit,2014,68.9584,0.3183,1.19,22.0,,0.0,6.16,402.0,89.53,0.9,,,5460.0,0.89,0.92,0.08,-0.202,4.5,6.8,1.81,,68.173,293.6792058,46.8527337
1070,K2-138,,,TIC 4610830,c,K2,1,6,Transit,2017,3.56004,0.04461,2.299,6.31,2.8,0.045,279.0,1012.0,88.1,0.369,2.78,G8 V,5356.3,0.86,0.94,0.14,-0.287,4.54,2.8,2.064,,202.585,348.9490311,-10.8497391
1071,KMT-2019-BLG-1339L,,,,b,KMTNet,1,1,Microlensing,2020,,2.15,13.7,397.0,0.848,,,,,,,,,,0.48,,,,,,,6120.0,265.743417,-25.5739167
1072,Kepler-82,,,TIC 63372898,e,Kepler,1,5,Transit,2014,5.902206,0.063,2.47,6.66,2.43,0.0,144.34,926.0,89.23,0.0,,,5428.0,0.95,0.96,0.211,-0.185,4.47,4.68,2.27335,,904.326,292.8733696,42.9661583
1073,Kepler-247,,,TIC 158792051,b,Kepler,1,3,Transit,2014,3.33616,0.042,1.64,3.33,4.15,0.0,216.11,970.0,88.88,0.14,,,5100.0,0.77,0.84,0.05,-0.422,4.61,0.8,3.12818,,663.711,288.6425609,43.0393769
1074,Kepler-42,,,TIC 63126862,d,Kepler,1,3,Transit,2011,1.865169,0.0154,0.57,0.13,3.86,0.02,12.54,450.0,88.02,0.681,,M,3068.0,0.17,0.13,-0.33,-2.62,5.11,4.5,26.8,,40.0595,292.2196,44.6173667
1075,Kepler-1073,,,TIC 138568416,c,Kepler,1,3,Transit,2016,4.02582254,0.0483,1.64,3.33,4.15,0.0,357.08,1169.0,89.92,0.017,,,5792.0,1.0,1.0,0.0,-0.01,4.44,3.72,1.61174,,809.897,294.1527259,38.2330886
1076,Kepler-1041,,,TIC 27007509,b,Kepler,1,1,Transit,2016,24.7576421,0.1688,2.94,8.96,1.94,0.0,117.96,644.0,86.17,0.861,,,5957.0,1.08,1.06,0.01,0.489,4.4,3.55,0.07423,,1485.82,293.8817361,49.6831419
1077,Kepler-1315,,,TIC 271881331,b,Kepler,1,2,Transit,2016,0.84338011,0.0163,1.38,2.48,5.19,0.0,897.9,1541.0,78.23,0.159,,,4861.0,0.75,0.8,0.07,-0.628,4.6,3.47,2.49769,,480.869,295.8215678,46.0530562
1078,Kepler-1530,,,TIC 298892283,c,Kepler,1,3,Transit,2016,5.3227406,0.06,1.65,3.36,4.11,0.0,135.18,1167.0,85.11,0.0643,,,5477.0,0.88,0.92,0.03,-0.311,4.52,4.27,2.76538,,489.876,288.1624396,48.165153
1079,KIC 9663113,,,TIC 272844987,c,Kepler,1,2,Transit,2016,20.74028413,0.154,4.2,16.4,1.22,0.0,279.79,798.0,88.27,0.7495,,,6117.21,2.22,1.15,0.144,0.792,3.81,3.0,0.14907,,1594.74,297.0454037,46.3286653
1080,Kepler-962,,,TIC 271546798,b,Kepler,1,1,Transit,2016,12.05707239,0.0984,1.97,4.54,3.26,0.0,53.82,689.0,89.07,0.3058,,,5478.0,0.86,0.93,0.01,-0.261,4.54,2.4,8.14697,,411.486,295.3131906,46.2375024
1081,Kepler-1666,,,TIC 273685548,b,Kepler,1,2,Transit,2020,25.8476,0.1761,2.883,8.66,1.99,0.0,48.23,672.0,89.91,0.56,,,6293.0,1.15,1.23,-0.2,0.268,4.41,0.41,1.1526,,1379.37,297.9516071,46.2647024
1082,Kepler-303,,,TIC 164460208,b,Kepler,1,2,Transit,2014,1.937055,0.024,0.89,0.64,4.99,0.0,145.44,802.0,89.41,0.45,,M0 V,3944.0,0.48,0.57,-0.414,-1.066,4.77,3.31,5.28345,,209.738,283.1354742,43.6567036
1083,Kepler-916,,,TIC 159581842,b,Kepler,1,1,Transit,2016,32.2968798,0.1885,1.76,3.75,3.78,0.0,14.68,503.0,89.78,0.207,,,5248.0,0.81,0.85,-0.05,-0.278,4.56,4.79,2.61354,,830.712,290.9833818,45.9733334
1084,KOI-1783,,,TIC 159051209,b,Kepler,1,2,Transit,2020,134.4628,0.5135,8.86,71.0,0.56,0.0,5.7,412.0,89.441,0.9239,,,5922.0,1.14,1.08,0.11,0.213,4.3,0.2,0.87299,,865.73,289.3414629,46.988155
1085,Kepler-334,,,TIC 158394479,c,Kepler,1,3,Transit,2014,12.758005,0.107,1.43,2.63,4.94,0.0,97.21,822.0,89.97,0.03,,,5828.0,1.07,1.07,-0.012,0.056,4.38,1.6,1.5271,,426.59,287.1406177,47.1151153
1086,EPIC 201757695,,,TIC 380546118,b,K2,1,1,Transit,2020,2.0478,0.0296,0.908,0.688,5.05,0.0,,,89.276,0.12,,,4520.0,0.66,0.73,-0.003,-0.364,4.66,,,,577.6,173.9385102,4.6164303
1087,Kepler-861,,,TIC 63206411,b,Kepler,1,1,Transit,2016,3.94963138,0.0463,2.28,5.82,2.7,0.0,197.29,966.0,89.86,0.02,,,5047.0,0.78,0.82,0.01,-0.427,4.58,4.47,7.44905,,850.327,292.3539624,46.2262465
1088,Kepler-1670,,,TIC 159375845,b,Kepler,1,1,Transit,2020,20.4998,0.1528,3.356,11.2,1.63,0.0,67.67,731.0,84.41,0.887,,,5838.0,1.52,1.05,-0.08,0.383,4.1,0.3,0.42245,,2065.98,290.3264599,43.121755
1089,Kepler-325,,,TIC 267671250,b,Kepler,1,3,Transit,2014,4.544439,0.053,2.91,8.8,1.96,0.0,210.55,1017.0,86.99,0.18,,,5752.0,1.0,0.92,0.017,-0.255,4.41,8.2,7.88553,,823.242,289.8354219,49.825607
1090,K2-111,,,TIC 14227229,c,Multiple Observatories,1,2,Radial Velocity,2020,15.6785,0.1166,3.37,11.3,1.62,0.07,,,,,3.27,G2,5775.0,1.25,0.84,-0.46,0.119,4.25,12.3,0.6,29.2,200.394,59.8903081,21.2985263
1091,Kepler-104,,,TIC 158553540,c,Kepler,2,3,Transit,2014,23.668205,0.153,3.13,9.96,1.78,0.0,45.44,668.0,87.95,0.77,,,5711.0,1.35,0.81,-0.38,0.089,4.11,12.9,1.30349,,400.785,287.6046621,42.1665104
1092,Kepler-300,,,TIC 27458633,c,Kepler,1,2,Transit,2014,40.714955,0.232,2.25,5.69,2.74,0.0,43.25,516.0,88.74,0.7,,,5986.0,0.9,1.07,0.04,0.34,4.53,3.63,0.39973,,1098.45,295.2886934,48.5997243
1093,GJ 27.1,,HIP 3143,TIC 80417903,b,Multiple Observatories,1,1,Radial Velocity,2014,15.819,0.101,3.66,13.0,1.46,0.08,,,,,4.9,M0.5 V,3542.0,0.52,0.53,,-1.585,4.72,,5.21124,,23.6062,9.9980016,-44.2541679
1094,HD 102365,HD 102365,HIP 57443,TIC 454082369,b,Anglo-Australian Telescope,2,1,Radial Velocity,2010,122.1,0.46,4.14,16.0,1.24,0.34,,,,,2.3,G3/5V,5630.0,0.95,0.85,-0.26,-0.057,4.57,9.0,1.65359,,9.2894,176.6208003,-40.4986211
1095,Kepler-306,,,TIC 121660143,c,Kepler,1,4,Transit,2014,7.240193,0.067,2.35,6.12,2.59,0.0,70.45,716.0,88.29,0.83,,,4954.0,0.72,0.81,-0.08,-0.469,4.61,2.63,2.71033,,775.679,288.5387145,40.6160545
1096,Kepler-1034,,,TIC 120762990,b,Kepler,1,1,Transit,2016,12.12400943,0.0965,2.26,5.73,2.73,0.0,36.79,675.0,89.94,0.0809,,,5198.0,0.8,0.83,-0.06,-0.439,4.57,4.79,3.01011,,654.549,286.1154093,37.9669464
1097,7 CMa,HD 47205,HIP 31592,TIC 48237215,c,Multiple Observatories,1,2,Radial Velocity,2019,996.0,2.153,13.9,276.5121,0.566,0.08,,,90.0,,14.9,K1III(+M),4826.0,4.87,1.34,0.21,1.063,3.19,4.3,,,19.8101,99.171276,-19.2561808
1098,CoRoT-36,,,TIC 405004589,b,CoRoT,1,1,Transit,2022,5.616531,0.066,15.805,216.12332,0.25,0.0,,1567.0,85.83,0.573,65.0,F3 V,6730.0,1.52,1.32,-0.1,0.813,4.16,2.1,0.23732,,925.958,277.7510149,7.1833465
1099,KOI-1599,,,TIC 170647523,c,Kepler,1,2,Transit,2019,20.4415,0.14728,1.9,4.6,3.69,0.014,44.8,660.0,89.78,0.5131,,,5833.0,0.97,1.02,0.06,0.162,4.47,4.7,0.00634,,1131.64,298.3738383,40.6184483
1100,Kepler-49,,,TIC 137555411,c,Kepler,1,4,Transit,2012,10.9129343,0.07821,2.55,5.9,1.3,0.0,12.34,443.0,88.68,0.9458,,M1 V,3974.0,0.53,0.55,0.03,-1.131,4.73,2.88,0.38433,,311.222,292.2945208,40.5918123
1101,Kepler-317,,,TIC 138890353,b,Kepler,1,2,Transit,2014,5.524242,0.061,2.09,109.8,66.1,0.0,151.65,976.0,87.89,0.3,,,5497.0,0.94,0.86,0.13,-0.208,4.49,3.72,1.48079,,940.584,294.9438822,39.0320499
1102,HD 80869,HD 80869,HIP 46022,TIC 307906761,b,Haute-Provence Observatory,1,1,Radial Velocity,2021,1711.7,2.878,12.9,1544.64606,3.95,0.862,0.14,203.2,,,151.9,G1 V,5837.0,1.06,1.08,0.17,0.4,4.18,,0.41893,,85.3951,140.7912931,33.9048294
1103,HD 220197,HD 220197,HIP 115359,TIC 435199076,b,Roque de los Muchachos Observatory,1,1,Radial Velocity,2018,1728.0,2.729,9.32,63.566,0.431,0.187,,,,,3.78,G5,5683.0,0.98,0.91,-0.55,-0.003,4.42,10.165,1.3056,19.0,64.411,350.4946927,16.6323305
1104,Kepler-299,,,TIC 48304460,c,Kepler,1,4,Transit,2014,6.885875,0.07,2.65,7.51,2.22,0.0,198.55,946.0,78.69,0.95,,,5617.0,1.03,0.95,-0.01,-0.044,4.39,0.4,0.63018,,1052.24,283.2070156,48.5805222
1105,Kepler-295,,,TIC 164890864,b,Kepler,1,3,Transit,2014,12.645164,0.099,1.22,1.98,5.99,0.0,391.01,741.0,77.82,0.02,,,5603.0,0.9,0.89,-0.01,0.629,4.44,8.8,0.01018,,1699.19,285.3458383,45.3677754
1106,Kepler-311,,,TIC 351898154,b,Kepler,1,2,Transit,2014,9.176092,0.087,1.7,3.53,3.95,0.0,201.36,960.0,89.63,0.01,,,5905.0,1.19,1.08,-0.01,0.193,4.31,1.95,1.01776,,778.654,282.0612731,47.0854984
1107,Kepler-759,,,TIC 122298563,b,Kepler,1,1,Transit,2016,41.805985,0.2329,2.27,5.77,2.71,0.0,19.02,533.0,89.97,0.875,,,5860.0,1.04,1.04,0.06,0.061,4.42,3.89,1.5122,,1073.48,290.1314231,41.3814345
1108,Kepler-906,,,TIC 137154728,b,Kepler,1,1,Transit,2016,41.6979976,0.2359,2.11,5.1,2.98,0.0,21.99,537.0,90.0,0.747,,,6035.0,1.02,1.06,-0.09,0.096,4.45,1.86,2.00587,,757.791,291.4055614,40.1254254
1109,Kepler-955,,,TIC 121603761,b,Kepler,1,1,Transit,2016,14.53244172,0.1083,3.13,9.96,1.78,0.0,33.09,664.0,90.0,0.1427,,,5350.0,0.84,0.89,0.02,-0.409,4.54,4.37,4.1224,,550.383,288.4714969,40.2698157
1110,K2-355,,,TIC 186853124,b,K2,1,1,Transit,2021,5.7385647,0.0632,2.25,5.69,2.74,,,1066.0,,0.43,,,5790.0,0.92,0.96,-0.12,-0.115,4.49,,1.65979,,500.497,124.6426189,13.5027816
1111,K2-398,,,TIC 281660552,b,K2,1,2,Transit,2022,6.393025,,2.274,5.79,2.71,,,,,0.523,,G2,5946.0,1.24,0.95,-0.257,0.26,4.23,,0.7489,,606.992,161.7349738,1.9367044
1112,CoRoT-7,,,TIC 280304863,b,CoRoT,1,3,Transit,2009,0.85359163,0.017016,1.681,4.07661,9.355,0.0,,1756.0,80.1,0.713,3.1,G9 V,5275.0,0.83,0.82,0.05,-0.289,4.5,1.8,2.0,,159.906,100.9561682,-1.0630076
1113,CoRoT-7,,,TIC 280304863,c,CoRoT,1,3,Radial Velocity,2009,3.698,0.046,2.83,8.4,2.04,0.0,,,80.0,,4.0,G9 V,5256.0,0.86,0.9,0.06,-0.289,4.52,1.8,1.96324,,159.906,100.9561682,-1.0630076
1114,OGLE-2014-BLG-0319L,,,,b,OGLE,1,1,Microlensing,2022,,3.49,14.1,181.16219,0.355,,,,,,,M,,,0.52,,,,,,,7730.0,266.9611667,-33.9350444
1115,CoRoT-7,,,TIC 280304863,d,La Silla Observatory,1,3,Radial Velocity,2022,8.966,,4.31,17.142,1.18,,,,,,5.525,G9 V,5250.0,0.84,0.92,0.02,-0.292,4.57,1.8,2.354,,159.906,100.9561682,-1.0630076
1116,TOI-2196,,,TIC 372172128,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,1.1947268,0.02234,3.51,26.0,3.31,0.0,2000.0,1860.0,81.11,0.712,15.16,G V,5634.0,1.04,1.03,0.14,-0.004,4.42,4.5,1.25,,259.947,312.3400744,-70.4850723
1117,OGLE-2019-BLG-0362L,,,,b,OGLE,1,1,Microlensing,2022,,2.18,13.1,1036.12061,2.53,,,,,,,,,,0.42,,,,,,,5830.0,263.46525,-24.8103611
1118,Kepler-1312,,,TIC 137899873,b,Kepler,1,2,Transit,2016,5.44832529,0.0603,2.1,5.06,3.0,0.0,219.12,978.0,87.71,0.1007,,,5719.0,0.92,0.99,-0.02,-0.099,4.51,2.0,1.6438,,299.104,292.9712801,41.0357494
1119,Kepler-84,,,TIC 170646917,c,Kepler,1,5,Transit,2012,12.883,0.1072,2.36,20.2,8.44,0.0,132.23,865.0,81.13,0.9611,,,6039.0,1.43,1.0,-0.07,0.212,4.13,3.98,0.02901,,1023.9,298.2520208,40.4960842
1120,Kepler-338,,,TIC 258203303,b,Kepler,1,4,Transit,2014,13.726976,0.117,2.44,30.6,11.6,0.04,256.61,1005.0,89.9,0.14,,,5923.0,1.74,1.2,-0.029,0.586,4.02,4.79,0.21664,,552.798,282.9790593,40.7844188
1121,Kepler-1221,,,TIC 279912260,b,Kepler,1,1,Transit,2016,12.00096042,0.0906,1.88,4.19,3.47,0.0,37.81,632.0,88.53,0.595,,,5194.0,0.82,0.87,0.09,-0.355,4.55,4.57,1.04718,,913.65,285.8223636,45.7118423
1122,Kepler-384,,,TIC 158114249,b,Kepler,1,2,Transit,2014,22.597053,0.148,1.12,1.46,5.71,0.0,101.55,670.0,89.87,0.02,,,5577.0,0.88,0.97,-0.459,0.396,4.47,1.5,0.80039,,895.678,286.0261113,44.7828571
1123,Kepler-221,,,TIC 272601375,d,Kepler,1,4,Transit,2014,10.04156,0.087,2.73,7.9,2.13,0.0,56.29,712.0,87.8,0.36,,,5243.0,0.82,0.82,0.062,-0.404,4.54,4.57,5.44198,,385.231,296.6547477,46.8352242
1124,Kepler-1348,,,TIC 26582909,b,Kepler,1,1,Transit,2016,27.5722742,0.1834,1.94,4.42,3.33,0.0,49.66,636.0,89.05,0.562,,,5911.0,1.04,1.04,-0.01,0.204,4.42,3.72,0.98819,,1213.82,292.0874126,49.788709
1125,Kepler-329,,,TIC 268713285,b,Kepler,1,2,Transit,2014,7.416397,0.061,1.4,2.54,5.09,0.0,40.69,547.0,88.86,0.89,,,4257.0,0.52,0.6,-0.44,-0.971,4.74,3.47,4.72946,,439.719,299.2681646,45.2272852
1126,Kepler-132,,,TIC 237158274,d,Kepler,2,4,Transit,2014,18.010199,0.136,1.55,3.02,4.46,0.0,70.21,758.0,85.52,0.01,,,6003.0,1.18,0.98,-0.216,0.211,4.31,4.37,6.09377,,349.549,283.23581,41.343037
1127,Kepler-1739,,,TIC 272279981,b,Kepler,1,1,Transit,2021,7.34370995,0.0697,2.431,6.48,2.48,0.0,117.5,839.0,89.78,0.0605,,,5757.0,0.76,0.86,-0.5,-0.14,4.6,0.4,38.44106,,783.666,296.2320536,47.6788626
1128,Kepler-1783,,,TIC 168811794,b,Kepler,1,1,Transit,2021,8.27744007,0.077,1.319,2.3,5.5,0.0,331.35,1088.0,89.35,0.1513,,,5129.0,1.78,0.89,-0.16,-0.451,3.88,13.9,3.27949,,264.078,297.0210984,41.3771655
