,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
3981,Kepler-85,,,TIC 159580705,c,Kepler,1,4,Transit,2012,12.513,0.1007,2.18,20.9,11.1,0.0,61.93,706.0,88.14,0.925,,,5499.0,1.24,0.92,0.0,-0.212,4.22,4.37,0.54818,,765.025,290.9734395,45.2902761
3982,Kepler-1196,,,TIC 63210324,b,Kepler,1,1,Transit,2016,66.1849031,0.3179,2.23,5.6,2.77,0.0,8.3,436.0,89.03,0.0978,,,5756.0,0.97,0.98,0.0,-0.047,4.46,3.98,5.34075,,922.333,292.369585,43.9108663
3983,Kepler-203,,,TIC 169084431,d,Kepler,1,3,Transit,2014,11.32972,0.1,1.44,33.9,62.4,0.0,121.82,855.0,89.91,0.34,,,5821.0,1.11,1.0,0.048,0.094,4.36,0.5,0.98943,,703.302,297.089959,41.3880686
3984,Kepler-1146,,,TIC 158322622,b,Kepler,1,1,Transit,2016,2.3522658,0.0325,1.23,2.04,6.02,0.0,227.96,1019.0,89.48,0.095,,,4692.0,0.7,0.74,-0.06,-0.642,4.62,4.9,3.92223,,703.038,286.716712,47.425658
3985,Kepler-365,,,TIC 27530849,c,Kepler,1,2,Transit,2014,17.784129,0.137,1.64,3.33,4.15,0.0,66.87,729.0,89.81,0.22,,,6012.0,1.05,1.02,-0.218,0.112,4.43,4.27,2.00592,,1038.99,295.626564,49.130411
3986,Kepler-374,,,TIC 270863576,b,Kepler,1,3,Transit,2014,1.897806,0.029,1.03,1.08,5.43,0.0,2014.66,1761.0,87.55,0.05,,,5977.0,0.91,1.04,0.111,0.274,4.48,1.5,0.7822,,1265.61,294.1378921,42.3704075
3987,Kepler-403,,,TIC 159174926,b,Kepler,1,3,Transit,2014,7.031462,0.076,1.25,2.1,5.91,0.0,689.46,1194.0,89.91,0.11,,,6090.0,1.33,1.25,0.079,0.644,4.27,3.09,0.2469,,840.269,289.9214256,46.7445267
3988,Kepler-39,,,TIC 272836943,b,Kepler,1,1,Transit,2011,21.08721,0.164,13.9,6388.1,13.0,0.112,90.22,897.0,89.07,0.36,1257.0,F7 V,6350.0,1.4,1.29,0.1,0.346,4.4,2.1,0.66,4.5,1057.41,296.9603348,46.0342954
3989,Kepler-28,,,TIC 63122956,b,Kepler,1,2,Transit,2011,5.9123,0.062,3.6,479.9,,0.0,62.58,585.0,89.51,0.17,,M0 V,4590.0,0.7,0.75,0.34,-0.745,4.29,2.24,4.13623,,438.359,292.1370409,42.4294835
3990,Kepler-296,,,TIC 243271945,d,Kepler,2,5,Transit,2014,19.850291,0.118,2.09,5.02,1.9,0.33,2.9,403.0,89.77,0.26,,M2 V,3740.0,0.48,0.5,-0.08,-1.509,4.77,13.9,6.4,,167.0,286.5400278,49.4372614
3991,Kepler-1580,,,TIC 120688631,b,Kepler,1,1,Transit,2016,56.6449279,0.323,2.11,5.1,2.98,0.0,83.09,733.0,88.47,0.3679,,,6228.0,2.15,1.47,0.12,0.926,3.94,2.75,0.09572,,1002.02,285.9687099,41.3635264
3992,Kepler-65,,,TIC 121731834,b,Kepler,1,4,Transit,2012,2.15491,0.035,1.42,2.4,4.4,0.028,2316.09,1740.0,92.2,0.16,,,6211.0,1.41,1.25,0.17,0.467,4.23,2.9,0.621,,303.728,288.6887221,41.1511076
3993,Kepler-1595,,,TIC 279915521,b,Kepler,1,1,Transit,2016,4.56380468,0.051,1.23,2.04,6.02,0.0,185.57,980.0,88.56,0.3223,,,5203.0,0.8,0.84,-0.02,-0.363,4.56,4.68,2.74456,,845.022,285.7227502,43.0094855
3994,Kepler-211,,,TIC 352007758,b,Kepler,1,2,Transit,2014,4.138575,0.048,1.26,2.13,5.85,0.0,158.19,954.0,89.23,0.02,,,5123.0,0.82,0.9,0.151,-0.413,4.55,1.55,2.96587,,309.353,285.4391183,43.1685051
3995,Kepler-299,,,TIC 48304460,b,Kepler,1,4,Transit,2014,2.927128,0.04,1.32,2.3,5.5,0.0,622.07,1258.0,89.72,0.38,,,5617.0,1.03,0.95,-0.01,-0.044,4.39,0.4,1.15252,,1052.24,283.2070156,48.5805222
3996,Kepler-228,,,TIC 27772524,b,Kepler,1,3,Transit,2014,2.566546,0.038,1.53,2.96,4.54,0.0,863.78,1360.0,82.17,0.45,,,6043.0,1.01,0.95,-0.03,0.111,4.47,0.3,1.55056,,1644.61,296.2860853,48.2246328
3997,EPIC 212424622,,,TIC 297146115,b,K2,1,1,Transit,2019,18.0983,,2.17,5.35,2.88,,,,,0.74,,,5782.33,1.22,1.11,,0.179,4.3,,0.84195,,611.804,202.3313765,-14.3594358
3998,HD 155193,HD 155193,,TIC 447842929,b,Haute-Provence Observatory,1,1,Radial Velocity,2021,352.65,1.04,14.0,238.37131,0.477,0.21,,,0.711,,19.51,F8 IV,6239.0,1.76,1.22,0.05,0.641,4.26,,0.31571,,57.7995,257.4208876,10.0381003
3999,HD 164922,HD 164922,HIP 88348,TIC 159019691,b,W. M. Keck Observatory,1,4,Radial Velocity,2005,1207.0,2.16,13.3,116.0,0.271,0.08,0.16,159.4,,,6.7,G9 V,5390.0,0.95,0.93,0.18,-0.149,4.46,9.58,1.32024,42.3,22.0016,270.6304652,26.3104077
