id,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
2308,Kepler-296,,,TIC 243271945,c,Kepler,2,5,Transit,2014,5.8416366,0.0521,2.0,4.66,1.2,0.33,14.8,606.0,89.94,0.25,,M2 V,3740.0,0.48,0.5,-0.08,-1.509,4.77,13.9,6.4,,167.0,286.5400278,49.4372614
2312,Kepler-317,,,TIC 138890353,c,Kepler,1,2,Transit,2014,8.77501,0.083,1.72,3.61,3.9,0.0,81.76,837.0,88.45,0.38,,,5497.0,0.94,0.86,0.13,-0.208,4.49,3.72,1.53878,,940.584,294.9438822,39.0320499
2313,Kepler-213,,,TIC 159521326,c,Kepler,1,2,Transit,2014,4.822962,0.057,2.34,6.08,2.61,0.0,339.54,1060.0,87.56,0.75,,,5696.0,1.2,1.07,0.157,0.082,4.31,1.62,73.71993,,634.939,290.8241931,44.6472832
2315,Kepler-319,,,TIC 121786630,b,Kepler,1,3,Transit,2014,4.362705,0.051,1.63,3.29,4.17,0.0,253.66,1023.0,86.03,0.26,,,5526.0,0.9,0.96,-0.015,-0.181,4.49,3.55,3.64696,,503.436,288.8119782,39.7706431
2320,Kepler-50,,,TIC 298896336,c,Kepler,1,2,Transit,2012,9.37647,0.087,2.17,8.2,,0.0,388.44,1125.0,87.6,0.94,,,6225.0,1.58,1.24,0.03,0.536,4.13,3.8,0.441,,250.11,288.1009312,50.0336844
2321,Kepler-316,,,TIC 159522175,c,Kepler,1,2,Transit,2014,6.827766,0.058,1.16,1.65,5.81,0.0,37.38,577.0,89.09,0.18,,,4204.0,0.52,0.59,-0.23,-0.936,4.74,3.31,4.28989,,384.938,290.825835,44.1838993
2322,Kepler-390,,,TIC 137340986,b,Kepler,2,2,Transit,2014,6.738088,0.065,0.82,0.477,4.75,0.0,99.97,786.0,89.57,0.37,,,5166.0,0.78,0.86,-0.044,-0.352,4.57,3.24,3.24733,,435.277,291.6288086,41.2088351
2323,Kepler-374,,,TIC 270863576,c,Kepler,1,3,Transit,2014,3.282807,0.042,1.1,1.37,5.66,0.0,966.59,1467.0,88.82,0.29,,,5977.0,0.91,1.04,0.111,0.274,4.48,1.5,0.79645,,1265.61,294.1378921,42.3704075
2330,Kepler-346,,,TIC 158660363,b,Kepler,1,2,Transit,2014,6.511127,0.071,2.66,7.56,2.21,0.0,134.36,1008.0,86.75,0.32,,,6033.0,1.02,0.95,0.0,-0.153,4.46,1.7,11.79405,,984.105,288.0119248,46.1176003
2334,Kepler-625,,,TIC 137414304,b,Kepler,1,2,Transit,2016,7.75192492,0.0768,1.99,4.62,3.22,0.0,407.83,852.0,87.83,0.54,,,5789.0,0.96,1.04,0.1,0.406,4.49,1.51,0.5185,,760.708,292.1504723,39.6375254
2338,Kepler-398,,,TIC 137155210,d,Kepler,1,3,Transit,2016,6.83437001,0.0618,0.88,0.615,4.96,0.0,40.83,636.0,85.83,0.3201,,,4557.0,0.67,0.72,-0.06,-0.811,4.64,2.34,5.10732,,177.355,291.4688524,40.3437001
2339,Kepler-625,,,TIC 137414304,c,Kepler,1,2,Transit,2016,4.1653651,0.0508,1.05,1.16,5.51,0.0,932.13,1048.0,87.83,0.0903,,,5789.0,0.96,1.04,0.1,0.406,4.49,1.51,0.5185,,760.708,292.1504723,39.6375254
2340,Kepler-226,,,TIC 63204017,d,Kepler,1,3,Transit,2014,8.109044,0.076,1.22,1.98,5.99,0.0,103.64,800.0,89.92,0.06,,,5571.0,0.8,0.91,0.16,-0.239,4.59,0.5,1.5302,,980.138,292.3760942,47.8809596
2342,Kepler-65,,,TIC 121731834,c,Kepler,1,4,Transit,2012,5.859944,0.068,2.58,5.4,1.64,0.02,609.99,1246.0,92.33,0.42,,,6211.0,1.41,1.25,0.17,0.467,4.23,2.9,0.621,,303.728,288.6887221,41.1511076
2347,Kepler-65,,,TIC 121731834,d,Kepler,1,4,Transit,2012,8.13123,0.084,1.52,4.14,5.7,0.014,394.55,1117.0,92.35,0.53,,,6211.0,1.41,1.25,0.17,0.467,4.23,2.9,0.621,,303.728,288.6887221,41.1511076
2350,Kepler-445,,,TIC 268060194,d,Kepler,1,3,Transit,2015,8.15275,0.0439,1.25,2.1,5.91,0.0,4.31,305.0,89.61,0.011,3.0,M4,3157.0,0.21,0.18,0.27,-2.1,4.93,6.61,14.39263,,127.201,298.7363395,46.4991236
2356,Kepler-374,,,TIC 270863576,d,Kepler,1,3,Transit,2014,5.028219,0.056,1.31,2.27,5.55,0.0,548.1,1272.0,88.37,0.69,,,5977.0,0.91,1.04,0.111,0.274,4.48,1.5,0.87899,,1265.61,294.1378921,42.3704075
2359,Kepler-46,,,TIC 158992508,d,Kepler,1,3,Transit,2014,6.766589,0.067,1.64,3.33,4.15,0.0,92.35,845.0,88.51,0.24,,,5309.0,0.79,0.92,0.37,-0.378,4.58,4.5,1.85399,,777.06,289.2687388,42.6041819
2360,Kepler-50,,,TIC 298896336,b,Kepler,1,2,Transit,2012,7.81254,0.077,1.71,8.9,,0.0,494.7,1196.0,89.88,0.74,,,6225.0,1.58,1.24,0.03,0.536,4.13,3.8,0.441,,250.11,288.1009312,50.0336844
2361,Kepler-273,,,TIC 159726559,c,Kepler,1,2,Transit,2014,8.014927,0.073,1.98,4.58,3.24,0.0,74.89,865.0,87.69,0.94,,,5626.0,0.81,0.94,0.14,-0.341,4.51,5.1,1.39534,,713.964,291.3021458,47.6976573
2367,Kepler-83,,,TIC 123416515,b,Kepler,2,3,Transit,2012,9.77,0.07295,2.83,42.1,10.2,0.0,15.41,460.0,89.84,0.09,,M0 V,4082.0,0.61,0.66,-0.2,-1.102,4.69,3.09,6.12072,,400.409,282.2325197,43.6655662
2390,Kepler-80,,,TIC 184296619,d,Kepler,1,6,Transit,2014,3.07222,0.0372,1.53,6.75,7.04,0.0,164.62,722.0,88.35,0.66,,K5,4540.0,0.68,0.73,0.04,-0.77,4.64,2.0,2.33,,369.451,296.1125759,39.9787451
2391,Kepler-55,,,TIC 164884002,d,Kepler,1,5,Transit,2014,2.211099,0.029,1.59,3.15,4.31,0.0,195.0,931.0,84.94,0.02,,,4503.0,0.62,0.63,-0.01,-0.763,4.68,2.34,3.6635,,578.796,285.1683291,44.0264898
2394,Kepler-94,,,TIC 123309556,b,Kepler,1,2,Transit,2014,2.50806,0.03106,3.51,10.84,1.45,0.0,216.09,997.0,86.61,0.85,6.11,M0 V,4781.0,0.76,0.81,0.34,-0.613,4.59,1.41,2.9,,191.904,281.1947316,47.4972606
2410,Kepler-968,,,TIC 350814607,b,Kepler,1,3,Transit,2016,3.69298373,0.0389,2.0,4.66,3.2,0.0,103.91,745.0,85.88,0.2074,,,4598.0,0.7,0.76,0.13,-0.763,4.63,2.14,6.11686,,290.324,285.6025889,50.1120401
2414,Kepler-1154,,,TIC 169561256,b,Kepler,1,2,Transit,2016,5.1856142,0.0631,2.34,6.08,2.61,0.0,652.97,1314.0,89.93,0.012,,,6327.0,1.43,1.26,0.04,0.452,4.23,2.29,0.68894,,1460.1,297.4771158,39.8772345
2648,Kepler-1016,,,TIC 271164596,b,Kepler,1,2,Transit,2016,1.95452434,0.0307,2.18,5.39,2.86,0.0,1445.2,1540.0,82.98,0.72,,,5821.0,1.0,0.99,-0.03,0.124,4.44,3.89,0.65812,,1402.82,294.613689,45.9846265
2649,KOI-351,,,TIC 267667295,c,Kepler,1,8,Transit,2013,8.719375,0.089,1.19,1.81,5.9,0.0,236.31,987.0,89.68,0.09,,,6080.0,1.2,1.2,-0.12,0.269,4.4,0.53,1.20992,,848.254,284.4334642,49.3051239
2654,Kepler-102,,,TIC 123357864,b,Kepler,1,5,Transit,2014,5.28696,0.0552,0.47,4.3,,0.0,90.33,792.0,86.41,0.06,,,4903.0,0.74,0.8,0.08,-0.584,4.61,1.41,2.76,,107.796,281.4824731,47.2078263
2655,Kepler-102,,,TIC 123357864,c,Kepler,1,5,Transit,2014,7.07142,0.067,0.58,3.0,,0.0,61.32,719.0,87.48,0.06,,,4903.0,0.74,0.8,0.08,-0.584,4.61,1.41,2.76,,107.796,281.4824731,47.2078263
2658,Kepler-100,,,TIC 159654016,b,Kepler,1,3,Transit,2014,6.88705,0.072,1.32,7.34,14.25,0.13,478.21,1155.0,85.37,0.54,1.9,,5825.0,1.49,1.08,0.02,0.411,4.12,6.46,0.44,,304.645,291.3861294,41.9901394
2714,Kepler-115,,,TIC 273383120,c,Kepler,1,2,Transit,2014,8.990889,0.087,2.6,7.27,2.27,0.0,209.1,960.0,85.95,0.11,,,5979.0,1.21,1.07,-0.05,0.22,4.31,5.5,1.13453,,623.609,297.7119299,45.261985
2718,Kepler-122,,,TIC 122714267,b,Kepler,1,5,Transit,2014,5.766193,0.064,2.34,6.08,2.61,0.0,448.1,1159.0,89.92,0.0,,,6050.0,1.22,1.08,-0.06,0.27,4.3,3.89,0.91393,,1027.45,291.1118647,39.9490248
2720,Kepler-116,,,TIC 271260980,b,Kepler,1,2,Transit,2014,5.968734,0.069,3.42,11.6,1.59,0.0,594.45,1251.0,89.25,0.56,,,6142.0,1.45,1.21,0.04,0.421,4.2,0.34,1.06053,,955.168,294.7420605,43.5367842
2722,Kepler-101,,,TIC 48304653,c,Kepler,1,2,Transit,2014,6.02976,0.0684,1.25,3.78,10.5,0.0,596.07,1413.0,84.6,0.75,1.17,G3 IV,5667.0,1.56,1.17,0.33,0.42,4.12,5.9,0.437,,927.981,283.255507,48.3552474
